date,prices,market_caps,total_volumes
2021-09-02,"[1630540800000, 2.924290654717899]","[1630540800000, 188791777.64190453]","[1630540800000, 72975713.52637337]"
2021-09-03,"[1630627200000, 2.924290654717899]","[1630627200000, 188791777.64190453]","[1630627200000, 72975713.52637337]"
2021-09-04,"[1630713600000, 4.807387437643936]","[1630713600000, 353965097.59191585]","[1630713600000, 99039738.26543595]"
2021-09-05,"[1630800000000, 3.734523543811573]","[1630800000000, 276493824.39756966]","[1630800000000, 282987546.2823716]"
2021-09-06,"[1630886400000, 4.985037344907323]","[1630886400000, 372978777.8492262]","[1630886400000, 186944425.69127947]"
2021-09-07,"[1630972800000, 3.980142700472193]","[1630972800000, 298212532.0663159]","[1630972800000, 255812980.88367432]"
2021-09-08,"[1631059200000, 2.7625825662584873]","[1631059200000, 207961052.78475913]","[1631059200000, 186583091.29204983]"
2021-09-09,"[1631145600000, 2.8081351666084537]","[1631145600000, 213881783.93577996]","[1631145600000, 185465793.0773661]"
2021-09-10,"[1631232000000, 2.3583293717279847]","[1631232000000, 180052579.13626578]","[1631232000000, 131607279.8959102]"
2021-09-11,"[1631318400000, 2.1242592560511553]","[1631318400000, 162513722.7189446]","[1631318400000, 86261661.67903548]"
2021-09-12,"[1631404800000, 2.360419949767167]","[1631404800000, 180291468.7363181]","[1631404800000, 76774434.21949096]"
2021-09-13,"[1631491200000, 2.4578605975872865]","[1631491200000, 188599725.55521595]","[1631491200000, 51454276.685083866]"
2021-09-14,"[1631577600000, 2.136389726536267]","[1631577600000, 164266442.7728354]","[1631577600000, 43046299.66745795]"
2021-09-15,"[1631664000000, 2.4118039268286187]","[1631664000000, 182723764.3691545]","[1631664000000, 39538761.04519497]"
2021-09-16,"[1631750400000, 2.9673855051398226]","[1631750400000, 226718701.3815444]","[1631750400000, 131506932.06184633]"
2021-09-17,"[1631836800000, 3.061181100897043]","[1631836800000, 234325799.1956107]","[1631836800000, 111124155.69953611]"
2021-09-18,"[1631923200000, 2.9534481721250763]","[1631923200000, 225975087.38935176]","[1631923200000, 83571804.15358776]"
2021-09-19,"[1632009600000, 3.301628079497982]","[1632009600000, 252525292.63451478]","[1632009600000, 45869848.751007795]"
2021-09-20,"[1632096000000, 3.397316122986121]","[1632096000000, 260845212.09966132]","[1632096000000, 56765073.50721473]"
2021-09-21,"[1632182400000, 3.849206121549376]","[1632182400000, 292733885.27719545]","[1632182400000, 257354033.34720072]"
2021-09-22,"[1632268800000, 3.2228761968718085]","[1632268800000, 244620577.51281178]","[1632268800000, 185367956.33236623]"
2021-09-23,"[1632355200000, 3.28554528429608]","[1632355200000, 250864539.56392106]","[1632355200000, 94024635.15843318]"
2021-09-24,"[1632441600000, 3.1709782610271766]","[1632441600000, 242388361.4001455]","[1632441600000, 54065282.71340203]"
2021-09-25,"[1632528000000, 2.9448346854355356]","[1632528000000, 222754210.26813757]","[1632528000000, 97274004.46710905]"
2021-09-26,"[1632614400000, 3.157499483703437]","[1632614400000, 242280209.59567603]","[1632614400000, 62650279.397663616]"
