date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 1862.8962845445124]","[1617667200000, 276292393.84130645]","[1617667200000, 9750557.478781732]"
2021-04-07,"[1617753600000, 1914.2758357832388]","[1617753600000, 288675382.2648501]","[1617753600000, 9457783.732181216]"
2021-04-08,"[1617840000000, 1715.5991021250766]","[1617840000000, 263784966.70883283]","[1617840000000, 10636241.55871899]"
2021-04-09,"[1617926400000, 1930.7554413753885]","[1617926400000, 299968343.55493975]","[1617926400000, 18092814.645794056]"
2021-04-10,"[1618012800000, 1893.9340744297979]","[1618012800000, 299607358.44880074]","[1618012800000, 16378672.21447685]"
2021-04-11,"[1618099200000, 1850.4209841230518]","[1618099200000, 297165906.66893244]","[1618099200000, 15660674.94354076]"
2021-04-12,"[1618185600000, 1951.5921231844989]","[1618185600000, 319608272.4995926]","[1618185600000, 16372799.661067747]"
2021-04-13,"[1618272000000, 1805.6347526379775]","[1618272000000, 300574714.4332449]","[1618272000000, 12100782.145690251]"
2021-04-14,"[1618358400000, 1642.5907092405512]","[1618358400000, 276289181.628916]","[1618358400000, 30363695.42759216]"
2021-04-15,"[1618444800000, 1773.1821458871468]","[1618444800000, 304613004.7015134]","[1618444800000, 28291514.18308573]"
2021-04-16,"[1618531200000, 1921.255228783366]","[1618531200000, 333297342.19053626]","[1618531200000, 20535123.262264773]"
2021-04-17,"[1618617600000, 1886.8416475711492]","[1618617600000, 333359867.975326]","[1618617600000, 20418727.920604087]"
2021-04-18,"[1618704000000, 1787.9635270337048]","[1618704000000, 311692359.76231956]","[1618704000000, 12238127.44241744]"
2021-04-19,"[1618790400000, 1682.7105679195035]","[1618790400000, 305010872.1617789]","[1618790400000, 14784100.291774003]"
2021-04-20,"[1618876800000, 1574.1598298480437]","[1618876800000, 288505186.3861473]","[1618876800000, 7509063.514288169]"
2021-04-21,"[1618963200000, 1614.5028261134846]","[1618963200000, 298530922.8625177]","[1618963200000, 17138241.841493327]"
2021-04-22,"[1619049600000, 1580.0220624627125]","[1619049600000, 298370969.90823114]","[1619049600000, 10552961.971553454]"
2021-04-23,"[1619136000000, 1411.8957532329125]","[1619136000000, 272438217.06667554]","[1619136000000, 15335891.130987704]"
2021-04-24,"[1619222400000, 1366.143747987601]","[1619222400000, 264956996.86250538]","[1619222400000, 18173841.74333651]"
2021-04-25,"[1619308800000, 1314.939798470462]","[1619308800000, 259016192.6145485]","[1619308800000, 10038418.266562987]"
2021-04-26,"[1619395200000, 1222.2951156868432]","[1619395200000, 248563450.9309201]","[1619395200000, 10511376.695306664]"
2021-04-27,"[1619481600000, 1325.0978907830495]","[1619481600000, 268160082.50849196]","[1619481600000, 9668814.52703683]"
2021-04-28,"[1619568000000, 1325.2466048250333]","[1619568000000, 271064242.66680443]","[1619568000000, 23515691.29368385]"
2021-04-29,"[1619654400000, 1263.8229494822192]","[1619654400000, 261921996.98164734]","[1619654400000, 32614696.407409646]"
2021-04-30,"[1619740800000, 1331.8377836284717]","[1619740800000, 280391179.7448531]","[1619740800000, 9744777.666137055]"
2021-05-01,"[1619827200000, 1386.7999122388462]","[1619827200000, 294559824.74575084]","[1619827200000, 8549953.698217273]"
2021-05-02,"[1619913600000, 1421.092144364652]","[1619913600000, 311675567.90027404]","[1619913600000, 8090980.722042804]"
2021-05-03,"[1620000000000, 1380.0398973441497]","[1620000000000, 305625813.4427494]","[1620000000000, 6094790.096590443]"
2021-05-04,"[1620086400000, 1569.3980164652075]","[1620086400000, 347981217.7808449]","[1620086400000, 21075069.904032685]"
2021-05-05,"[1620172800000, 1435.382080058736]","[1620172800000, 326812482.46798944]","[1620172800000, 12442496.251869084]"
2021-05-06,"[1620259200000, 1543.0778506314314]","[1620259200000, 353637537.16343313]","[1620259200000, 5286522.590107341]"
2021-05-07,"[1620345600000, 1581.2518359636072]","[1620345600000, 366560659.9573245]","[1620345600000, 19833825.956397943]"
2021-05-08,"[1620432000000, 1609.8020962440946]","[1620432000000, 377260058.0461358]","[1620432000000, 11970752.192564022]"
2021-05-09,"[1620518400000, 1792.6549038370063]","[1620518400000, 420394376.8904692]","[1620518400000, 10648462.264997661]"
