date,prices,market_caps,total_volumes
2021-04-21,"[1618963200000, 55.44103543654323]","[1618963200000, 0.0]","[1618963200000, 72601965.00930215]"
2021-04-22,"[1619049600000, 55.44103543654323]","[1619049600000, 0.0]","[1619049600000, 72601965.00930215]"
2021-04-23,"[1619136000000, 39.54878964605709]","[1619136000000, 231995700.7532784]","[1619136000000, 305797950.21595186]"
2021-04-24,"[1619222400000, 46.4559246139795]","[1619222400000, 310785215.7502606]","[1619222400000, 336475816.32161415]"
2021-04-25,"[1619308800000, 38.17652335017026]","[1619308800000, 275385966.9340666]","[1619308800000, 126286670.93788707]"
2021-04-26,"[1619395200000, 33.7886338990613]","[1619395200000, 249789006.26820183]","[1619395200000, 69684127.75108859]"
2021-04-27,"[1619481600000, 36.086547109339726]","[1619481600000, 276603862.8432314]","[1619481600000, 59047344.65183338]"
2021-04-28,"[1619568000000, 34.99926418620488]","[1619568000000, 275300992.7230401]","[1619568000000, 60253122.23639705]"
2021-04-29,"[1619654400000, 33.52661092500266]","[1619654400000, 271757416.1034515]","[1619654400000, 79009235.70732705]"
2021-04-30,"[1619740800000, 36.61635487200061]","[1619740800000, 299472872.4084367]","[1619740800000, 65254615.918164395]"
2021-05-01,"[1619827200000, 43.830469221604595]","[1619827200000, 354801119.49320525]","[1619827200000, 161601536.23263198]"
2021-05-02,"[1619913600000, 41.4387802327116]","[1619913600000, 340924401.8302879]","[1619913600000, 51825686.67939473]"
2021-05-03,"[1620000000000, 44.181407706806496]","[1620000000000, 365549951.00185233]","[1620000000000, 55845856.39378776]"
2021-05-04,"[1620086400000, 42.030692239303306]","[1620086400000, 348543302.1437483]","[1620086400000, 71811209.9373427]"
2021-05-05,"[1620172800000, 37.103677696678794]","[1620172800000, 311093249.3602224]","[1620172800000, 55338424.73055194]"
2021-05-06,"[1620259200000, 37.73491225304018]","[1620259200000, 310731864.91994256]","[1620259200000, 55011052.48106804]"
2021-05-07,"[1620345600000, 35.30375906984274]","[1620345600000, 293939911.37017345]","[1620345600000, 54930858.84796964]"
2021-05-08,"[1620432000000, 35.68489637118429]","[1620432000000, 295806246.35979664]","[1620432000000, 58302186.540325105]"
2021-05-09,"[1620518400000, 36.484859697325895]","[1620518400000, 304905315.8580542]","[1620518400000, 32915272.191775043]"
2021-05-10,"[1620604800000, 35.85990693921182]","[1620604800000, 302054956.7646047]","[1620604800000, 44806604.939252496]"
2021-05-11,"[1620691200000, 32.22316534757164]","[1620691200000, 267549939.0539529]","[1620691200000, 51335896.566128746]"
2021-05-12,"[1620777600000, 33.284103377938465]","[1620777600000, 277656262.6933187]","[1620777600000, 52408607.70919219]"
2021-05-13,"[1620864000000, 28.003185091566163]","[1620864000000, 244784119.2681652]","[1620864000000, 36057253.72124163]"
2021-05-14,"[1620950400000, 30.370513962641233]","[1620950400000, 250705901.22822058]","[1620950400000, 43791653.82196342]"
2021-05-15,"[1621036800000, 30.865526736887315]","[1621036800000, 257679030.55904695]","[1621036800000, 32405382.549439132]"
2021-05-16,"[1621123200000, 29.21807219892489]","[1621123200000, 244256143.14605066]","[1621123200000, 26629632.303580627]"
2021-05-17,"[1621209600000, 29.423773640798338]","[1621209600000, 246306810.45895594]","[1621209600000, 50825188.81893945]"
2021-05-18,"[1621296000000, 30.045215058680228]","[1621296000000, 254591529.52233726]","[1621296000000, 50037672.594282486]"
2021-05-19,"[1621382400000, 28.97849144930332]","[1621382400000, 243759160.571138]","[1621382400000, 26093378.893278793]"
2021-05-20,"[1621468800000, 19.924392234188815]","[1621468800000, 170565411.8991364]","[1621468800000, 43808635.71236744]"
2021-05-21,"[1621555200000, 21.384867427650747]","[1621555200000, 178030389.64103627]","[1621555200000, 41821674.69883832]"
2021-05-22,"[1621641600000, 19.56824922629331]","[1621641600000, 164681043.93891135]","[1621641600000, 22274556.641674083]"
2021-05-23,"[1621728000000, 19.16855679823458]","[1621728000000, 161921452.19345868]","[1621728000000, 16703469.899528287]"
2021-05-24,"[1621814400000, 15.998928347904934]","[1621814400000, 134244352.42286763]","[1621814400000, 15831514.68880357]"
2021-05-25,"[1621900800000, 19.001776034636514]","[1621900800000, 160001410.97976738]","[1621900800000, 17454084.62978358]"
2021-05-26,"[1621987200000, 18.021484368937344]","[1621987200000, 151908633.28884846]","[1621987200000, 12135341.210046778]"
2021-05-27,"[1622073600000, 19.727348145109584]","[1622073600000, 166500975.58082786]","[1622073600000, 21022798.479700908]"
2021-05-28,"[1622160000000, 23.116994744148027]","[1622160000000, 193132154.86152166]","[1622160000000, 42656559.42666236]"
2021-05-29,"[1622246400000, 19.269647688714088]","[1622246400000, 162530782.17026132]","[1622246400000, 26758652.247846294]"
2021-05-30,"[1622332800000, 22.576028310011075]","[1622332800000, 195141493.62200907]","[1622332800000, 57392283.26820412]"
2021-05-31,"[1622419200000, 21.368082616332927]","[1622419200000, 180758831.75568435]","[1622419200000, 15241437.957792638]"
2021-06-01,"[1622505600000, 23.571904386165404]","[1622505600000, 199619139.56142575]","[1622505600000, 18980795.72369094]"
2021-06-02,"[1622592000000, 22.02446635316566]","[1622592000000, 186924488.10460883]","[1622592000000, 11310492.06079904]"
