date,prices,market_caps,total_volumes
2021-04-06,0.1275266109684201,125559304.9726417,83395799.1738272
2021-04-07,0.11714920455807161,115381134.49746373,43916921.27772143
2021-04-08,0.11270492732953274,110955574.16897227,52413735.362089194
2021-04-09,0.1263538273637347,124084407.35394575,111659495.05527912
2021-04-10,0.13259320481369755,129373843.71990323,44869669.73453875
2021-04-11,0.130304137616338,128057502.06393342,67284888.82705687
2021-04-12,0.12667758991068273,124398668.86957812,30272282.00627207
2021-04-13,0.11904683743094101,116734299.71732654,35574499.69032759
2021-04-14,0.10951702171447299,107530952.81803298,39289194.50249327
2021-04-15,0.11278117698801537,111062527.49744463,39360623.86961749
2021-04-16,0.12194651269452454,119811767.49652782,44769164.908470586
2021-04-17,0.11319459468752643,111279603.48648478,27929688.875541873
2021-04-18,0.11683077395902579,114741068.85530718,56463061.169270344
2021-04-19,0.10379472008436655,102159050.2432339,37801627.53776532
2021-04-20,0.10704675929701027,105280785.25601575,31645651.933064483
2021-04-21,0.10540761319711012,103956457.17495036,57375064.19685191
2021-04-22,0.09984310194345698,98143127.3019291,27734258.442039207
2021-04-23,0.08753559115310872,85948926.01368074,26382109.70997072
2021-04-24,0.0820123387530392,79910390.11576028,26638646.65851956
2021-04-25,0.07716759628415079,76602318.12582152,21393101.29883381
2021-04-26,0.07556076637283973,74219603.49399526,18868424.710241783
2021-04-27,0.09084177371200117,88974986.24254322,36359230.60585271
2021-04-28,0.09545120688150796,93820456.72161405,25696902.761190586
2021-04-29,0.09405819291169865,92259933.5324939,20640475.56673814
2021-04-30,0.09252645415545468,90802938.34199706,25514643.480396442
2021-05-01,0.11812684979012851,114960448.73961608,103056627.95971818
2021-05-02,0.10913757660177996,107543193.33725889,40432075.14512497
2021-05-03,0.11023826737355481,108259493.03998463,32165411.922317762
2021-05-04,0.11876174239674997,116805017.87823974,54342956.456229515
2021-05-05,0.10118264415595046,99909975.83900012,34835656.832974195
2021-05-06,0.10486170022547696,102922494.66994381,26850986.57734284
2021-05-07,0.11225102120273917,110240818.07862988,49766782.98996964
2021-05-08,0.10874355098106131,106803498.1289902,26272862.53035514
2021-05-09,0.11332474059957909,111187213.19472978,23234258.100662228
2021-05-10,0.10685081628020732,104938176.07829656,20384787.745674506
2021-05-11,0.09649890908877631,94379540.3270175,27658561.90345108
2021-05-12,0.09819406075339367,96014350.11097182,19342323.57315546
2021-05-13,0.08179757754169849,82460558.74184027,22402396.401989788
2021-05-14,0.08038362868613723,78703515.30806313,20868408.408676583
2021-05-15,0.08464280015495378,83154201.6713921,17582036.085665237
2021-05-16,0.07625179928918954,74926399.66247925,23768778.376174346
2021-05-17,0.07963578084420943,77251222.79313241,27493961.39454478
2021-05-18,0.07176269222712843,71748702.39385685,19234212.494366784
2021-05-19,0.07408208055282739,72270744.17490195,14842955.714190053
2021-05-20,0.04866794536473012,49185998.351409,25275948.591964915
2021-05-21,0.05253495604238693,51426858.78886457,26010722.656451397
2021-05-22,0.042111757989937756,41158390.524064995,21094387.845946528
2021-05-23,0.03965420548799836,38940995.53291839,15678674.775276018
2021-05-24,0.03366308400225683,32812288.081156667,14304609.698370447
2021-05-25,0.042222016203887554,41327086.48722295,14212839.316328062
2021-05-26,0.0448604582693496,44046895.02889997,17725302.339470424
2021-05-27,0.04871201712109865,47903391.310128964,14107156.85145453
2021-05-28,0.0466627355659981,45819258.91891175,11664148.63219816
2021-05-29,0.04035977199692225,39621362.58542906,12993601.908289287
2021-05-30,0.037798326043437545,37117137.532227665,10189496.82216427
2021-05-31,0.04170235016749345,40935459.906881966,9577866.666337313
2021-06-01,0.04437929071479851,43590291.317574956,9168639.408721983
2021-06-02,0.043428565156984046,42610898.61556257,8760775.200974928
