date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.19930847958056438]","[1617667200000, 0.0]","[1617667200000, 34047849.6085688]"
2021-04-07,"[1617753600000, 0.2709858797731016]","[1617753600000, 0.0]","[1617753600000, 27332462.951790757]"
2021-04-08,"[1617840000000, 0.28785184774174133]","[1617840000000, 0.0]","[1617840000000, 20270645.326045264]"
2021-04-09,"[1617926400000, 0.315411237991291]","[1617926400000, 0.0]","[1617926400000, 1223769.7283140956]"
2021-04-10,"[1618012800000, 0.29371175717021647]","[1618012800000, 0.0]","[1618012800000, 9738804.852987098]"
2021-04-11,"[1618099200000, 0.2368465969341802]","[1618099200000, 0.0]","[1618099200000, 4324668.491888308]"
2021-04-12,"[1618185600000, 0.2345857017337523]","[1618185600000, 0.0]","[1618185600000, 61296238.55391456]"
2021-04-13,"[1618272000000, 0.31954463283375467]","[1618272000000, 0.0]","[1618272000000, 233186941.1311716]"
2021-04-14,"[1618358400000, 0.2827444290693416]","[1618358400000, 0.0]","[1618358400000, 203517721.13909465]"
2021-04-15,"[1618444800000, 0.4172817839177002]","[1618444800000, 0.0]","[1618444800000, 148652873.52339444]"
2021-04-16,"[1618531200000, 0.4278306325557353]","[1618531200000, 0.0]","[1618531200000, 78662963.10255991]"
2021-04-17,"[1618617600000, 0.3294985764806761]","[1618617600000, 0.0]","[1618617600000, 47957740.34332119]"
2021-04-18,"[1618704000000, 0.3546982545676565]","[1618704000000, 0.0]","[1618704000000, 20451220.456218116]"
2021-04-19,"[1618790400000, 0.36368524234172983]","[1618790400000, 0.0]","[1618790400000, 7149381.143814349]"
2021-04-20,"[1618876800000, 0.3230383660796829]","[1618876800000, 0.0]","[1618876800000, 2550491.7146364753]"
2021-04-21,"[1618963200000, 0.347616616695117]","[1618963200000, 0.0]","[1618963200000, 2275144.384290851]"
2021-04-22,"[1619049600000, 0.33440512108365494]","[1619049600000, 0.0]","[1619049600000, 1028431.2205675184]"
2021-04-23,"[1619136000000, 0.370496504600991]","[1619136000000, 0.0]","[1619136000000, 4561517.862754839]"
2021-04-24,"[1619222400000, 0.3938354758523006]","[1619222400000, 0.0]","[1619222400000, 6549588.89435734]"
2021-04-25,"[1619308800000, 0.4044511317862778]","[1619308800000, 0.0]","[1619308800000, 4982572.784968475]"
2021-04-26,"[1619395200000, 0.5319971070830078]","[1619395200000, 0.0]","[1619395200000, 6711022.144291682]"
2021-04-27,"[1619481600000, 0.48676965158129076]","[1619481600000, 0.0]","[1619481600000, 108841128.59398586]"
2021-04-28,"[1619568000000, 0.3066739825158242]","[1619568000000, 0.0]","[1619568000000, 74551405.26526076]"
2021-04-29,"[1619654400000, 0.17930493392959518]","[1619654400000, 0.0]","[1619654400000, 59203590.35793552]"
2021-04-30,"[1619740800000, 0.2097713021279098]","[1619740800000, 0.0]","[1619740800000, 80916924.29666919]"
2021-05-01,"[1619827200000, 0.1860747939912626]","[1619827200000, 0.0]","[1619827200000, 93347051.13590018]"
2021-05-02,"[1619913600000, 0.17607351200635496]","[1619913600000, 0.0]","[1619913600000, 75236415.89534464]"
2021-05-03,"[1620000000000, 0.159096174622521]","[1620000000000, 0.0]","[1620000000000, 75291782.35676496]"
2021-05-04,"[1620086400000, 0.21381085388807186]","[1620086400000, 0.0]","[1620086400000, 138537362.90993884]"
2021-05-05,"[1620172800000, 0.16562250675759646]","[1620172800000, 0.0]","[1620172800000, 66579146.60899507]"
2021-05-06,"[1620259200000, 0.1580156590252677]","[1620259200000, 0.0]","[1620259200000, 86902547.26844506]"
2021-05-07,"[1620345600000, 0.11631439062683267]","[1620345600000, 0.0]","[1620345600000, 51998494.21046094]"
2021-05-08,"[1620432000000, 0.12936686493261995]","[1620432000000, 0.0]","[1620432000000, 49033435.259325854]"
2021-05-09,"[1620518400000, 0.1295130764978536]","[1620518400000, 0.0]","[1620518400000, 53994563.333720215]"
2021-05-10,"[1620604800000, 0.14127720534501878]","[1620604800000, 0.0]","[1620604800000, 33966951.140213996]"
2021-05-11,"[1620691200000, 0.1288019024029993]","[1620691200000, 0.0]","[1620691200000, 40604182.93869985]"
2021-05-12,"[1620777600000, 0.1300804420212317]","[1620777600000, 0.0]","[1620777600000, 59107170.3171045]"
2021-05-13,"[1620864000000, 0.11159735540156378]","[1620864000000, 0.0]","[1620864000000, 61332766.542783916]"
2021-05-14,"[1620950400000, 0.12511676250359807]","[1620950400000, 0.0]","[1620950400000, 70938879.47945648]"
2021-05-15,"[1621036800000, 0.1193862686514506]","[1621036800000, 0.0]","[1621036800000, 50966316.64389028]"
2021-05-16,"[1621123200000, 0.10957654564923004]","[1621123200000, 0.0]","[1621123200000, 54571248.45870937]"
2021-05-17,"[1621209600000, 0.11964409133456244]","[1621209600000, 0.0]","[1621209600000, 87901343.2274365]"
2021-05-18,"[1621296000000, 0.10261257674427622]","[1621296000000, 0.0]","[1621296000000, 45707187.61843946]"
2021-05-19,"[1621382400000, 0.10756650383068983]","[1621382400000, 0.0]","[1621382400000, 68881546.0160554]"
2021-05-20,"[1621468800000, 0.08066222892010255]","[1621468800000, 0.0]","[1621468800000, 58682469.41989186]"
2021-05-21,"[1621555200000, 0.07972913522517275]","[1621555200000, 0.0]","[1621555200000, 42907428.89957293]"
2021-05-22,"[1621641600000, 0.07173768305232563]","[1621641600000, 0.0]","[1621641600000, 56440160.828891285]"
