date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 39.86956976949966]","[1617667200000, 91920173.95992638]","[1617667200000, 23368910.394341372]"
2021-04-07,"[1617753600000, 49.973171584748286]","[1617753600000, 115022679.3146957]","[1617753600000, 44292653.25124753]"
2021-04-08,"[1617840000000, 47.01426666264772]","[1617840000000, 109325722.85035694]","[1617840000000, 28672565.210747037]"
2021-04-09,"[1617926400000, 59.6098243225569]","[1617926400000, 137336355.80922326]","[1617926400000, 28651681.283505823]"
2021-04-10,"[1618012800000, 59.500722795462515]","[1618012800000, 136852535.04161862]","[1618012800000, 40366139.5796447]"
2021-04-11,"[1618099200000, 56.97983072461715]","[1618099200000, 131586813.83848251]","[1618099200000, 9642131.124078225]"
2021-04-12,"[1618185600000, 65.02211693717891]","[1618185600000, 149351972.5340645]","[1618185600000, 17507355.96632902]"
2021-04-13,"[1618272000000, 60.053482404729756]","[1618272000000, 138646823.30605555]","[1618272000000, 21617872.83663349]"
2021-04-14,"[1618358400000, 57.97082776699182]","[1618358400000, 134085507.34140544]","[1618358400000, 14443059.668215465]"
2021-04-15,"[1618444800000, 53.333684150878376]","[1618444800000, 123014947.88589512]","[1618444800000, 10820350.97445503]"
2021-04-16,"[1618531200000, 54.99982470217264]","[1618531200000, 127836964.2307149]","[1618531200000, 12213411.563360399]"
2021-04-17,"[1618617600000, 50.321657053170156]","[1618617600000, 117088860.05133699]","[1618617600000, 11725167.3342463]"
2021-04-18,"[1618704000000, 49.974358095659184]","[1618704000000, 116290543.67485495]","[1618704000000, 7775463.061636989]"
2021-04-19,"[1618790400000, 42.69778329112099]","[1618790400000, 99170539.21670851]","[1618790400000, 12973192.079667121]"
2021-04-20,"[1618876800000, 39.016429272162334]","[1618876800000, 114105488.4321039]","[1618876800000, 8343940.192779337]"
2021-04-21,"[1618963200000, 42.542116826949965]","[1618963200000, 124345997.69498648]","[1618963200000, 10154099.966320956]"
2021-04-22,"[1619049600000, 41.082692627707274]","[1619049600000, 120575741.8048857]","[1619049600000, 6413003.159435164]"
2021-04-23,"[1619136000000, 36.06874089986372]","[1619136000000, 106386047.36102882]","[1619136000000, 9015233.626112971]"
2021-04-24,"[1619222400000, 34.356600193107404]","[1619222400000, 101068834.41018695]","[1619222400000, 9011768.30095573]"
2021-04-25,"[1619308800000, 31.30686749142468]","[1619308800000, 91400607.67192255]","[1619308800000, 4083570.9025147893]"
2021-04-26,"[1619395200000, 35.750154133577716]","[1619395200000, 102943557.05525197]","[1619395200000, 8313554.113342159]"
2021-04-27,"[1619481600000, 40.36350554294491]","[1619481600000, 117863386.67746986]","[1619481600000, 6981335.067235444]"
2021-04-28,"[1619568000000, 45.09665129023845]","[1619568000000, 130456465.6655518]","[1619568000000, 7267972.6839597775]"
2021-04-29,"[1619654400000, 47.15808364592799]","[1619654400000, 137050174.91586545]","[1619654400000, 9950313.049976371]"
2021-04-30,"[1619740800000, 49.769009244993505]","[1619740800000, 143927041.06555364]","[1619740800000, 12081010.961511586]"
2021-05-01,"[1619827200000, 53.76899161224326]","[1619827200000, 157922772.43585598]","[1619827200000, 6892179.703087074]"
2021-05-02,"[1619913600000, 50.3934188056219]","[1619913600000, 147795271.08263054]","[1619913600000, 6840338.046623642]"
2021-05-03,"[1620000000000, 53.87060330899945]","[1620000000000, 157761259.41712564]","[1620000000000, 9550803.021119008]"
2021-05-04,"[1620086400000, 51.80198405866807]","[1620086400000, 151856076.2423212]","[1620086400000, 6910479.9642425645]"
2021-05-05,"[1620172800000, 44.591805015597096]","[1620172800000, 132777982.28706264]","[1620172800000, 8305341.338063359]"
2021-05-06,"[1620259200000, 51.008903724733806]","[1620259200000, 148856844.52355647]","[1620259200000, 13455865.17915072]"
2021-05-07,"[1620345600000, 48.30431197248786]","[1620345600000, 143369308.47536278]","[1620345600000, 6893900.385192704]"
2021-05-08,"[1620432000000, 48.18817561627877]","[1620432000000, 141229226.22949603]","[1620432000000, 5523311.142801642]"
2021-05-09,"[1620518400000, 48.1470279544026]","[1620518400000, 141053964.24340114]","[1620518400000, 3863577.6307798703]"
2021-05-10,"[1620604800000, 42.00055535597082]","[1620604800000, 126529770.51785833]","[1620604800000, 11101354.491165102]"
2021-05-11,"[1620691200000, 37.06736168464093]","[1620691200000, 119645932.80592702]","[1620691200000, 12145504.59834223]"
2021-05-12,"[1620777600000, 37.493912985972386]","[1620777600000, 120842547.34335233]","[1620777600000, 10693008.429348057]"
2021-05-13,"[1620864000000, 37.02284107981913]","[1620864000000, 167749772.21767312]","[1620864000000, 41575451.725099996]"
2021-05-14,"[1620950400000, 40.757287811977186]","[1620950400000, 178308005.7147408]","[1620950400000, 37913681.880815074]"
