date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.6599444194346149]","[1617667200000, 5455119.440017652]","[1617667200000, 189204.72968206552]"
2021-04-07,"[1617753600000, 0.656503723575973]","[1617753600000, 5295254.605884422]","[1617753600000, 134707.09901281822]"
2021-04-08,"[1617840000000, 0.6459251624216343]","[1617840000000, 5360229.5797744775]","[1617840000000, 146641.8081197654]"
2021-04-09,"[1617926400000, 0.7099956329490091]","[1617926400000, 5888967.440245314]","[1617926400000, 191780.21831096505]"
2021-04-10,"[1618012800000, 0.6995659213627113]","[1618012800000, 5806032.770032376]","[1618012800000, 143255.45287536745]"
2021-04-11,"[1618099200000, 0.7323766628826309]","[1618099200000, 6019124.058637917]","[1618099200000, 192238.78892859965]"
2021-04-12,"[1618185600000, 0.687807930630008]","[1618185600000, 5711269.691548598]","[1618185600000, 176016.50764298163]"
2021-04-13,"[1618272000000, 0.7094058200481784]","[1618272000000, 5845990.995241979]","[1618272000000, 159818.3040761046]"
2021-04-14,"[1618358400000, 0.725485687974948]","[1618358400000, 6012833.044128716]","[1618358400000, 199320.9351466916]"
2021-04-15,"[1618444800000, 0.8023261247962101]","[1618444800000, 6639331.932728619]","[1618444800000, 171054.36985440535]"
2021-04-16,"[1618531200000, 0.8874931948310686]","[1618531200000, 7366193.2170572085]","[1618531200000, 202533.54476195486]"
2021-04-17,"[1618617600000, 0.6069982340715702]","[1618617600000, 4786052.087655096]","[1618617600000, 161881.9139813099]"
2021-04-18,"[1618704000000, 0.7329335304224979]","[1618704000000, 6106350.769738901]","[1618704000000, 164612.45310641752]"
2021-04-19,"[1618790400000, 0.7197150161456165]","[1618790400000, 6183073.385878175]","[1618790400000, 211034.0408575052]"
2021-04-20,"[1618876800000, 0.5671597516246359]","[1618876800000, 4717662.728549942]","[1618876800000, 190430.74306423022]"
2021-04-21,"[1618963200000, 0.48243602137900243]","[1618963200000, 5338722.930944089]","[1618963200000, 142096.80418347518]"
2021-04-22,"[1619049600000, 0.5879295142528302]","[1619049600000, 4879814.769533293]","[1619049600000, 194334.809881312]"
2021-04-23,"[1619136000000, 0.4883645225872102]","[1619136000000, 4053425.372369239]","[1619136000000, 228811.17695427683]"
2021-04-24,"[1619222400000, 0.4993371993248782]","[1619222400000, 4483125.488470412]","[1619222400000, 96947.27684342171]"
2021-04-25,"[1619308800000, 0.23169183472995114]","[1619308800000, 1208449.8107849117]","[1619308800000, 85198.20857581096]"
2021-04-26,"[1619395200000, 0.5211844958749547]","[1619395200000, 4325831.139561854]","[1619395200000, 283154.2078622217]"
2021-04-27,"[1619481600000, 0.5262478164059999]","[1619481600000, 4367856.69825774]","[1619481600000, 189841.65431269901]"
2021-04-28,"[1619568000000, 0.4869038861972273]","[1619568000000, 4038852.692594278]","[1619568000000, 170511.50263727532]"
2021-04-29,"[1619654400000, 0.40071523941413273]","[1619654400000, 3322163.7147696796]","[1619654400000, 125751.01917172415]"
2021-04-30,"[1619740800000, 0.5881964465385027]","[1619740800000, 4882030.307414132]","[1619740800000, 246209.98030196276]"
2021-05-01,"[1619827200000, 0.5332731428021289]","[1619827200000, 4420937.834126043]","[1619827200000, 181651.9640665563]"
2021-05-02,"[1619913600000, 0.5801511283353283]","[1619913600000, 4815254.169047718]","[1619913600000, 166731.1040579451]"
2021-05-03,"[1620000000000, 0.7198041621446498]","[1620000000000, 5952625.095866754]","[1620000000000, 228201.50787972455]"
2021-05-04,"[1620086400000, 0.751664489211916]","[1620086400000, 4626545.620776404]","[1620086400000, 232736.42635590903]"
2021-05-05,"[1620172800000, 0.5866475573447422]","[1620172800000, 4869174.527629563]","[1620172800000, 188134.8820172989]"
2021-05-06,"[1620259200000, 0.49587022695167104]","[1620259200000, 4115722.716056761]","[1620259200000, 136871.38904314413]"
2021-05-07,"[1620345600000, 0.8257455546569649]","[1620345600000, 6541074.261662548]","[1620345600000, 322389.20115660253]"
2021-05-08,"[1620432000000, 0.6426751592737101]","[1620432000000, 6425138.917166213]","[1620432000000, 213910.25307391002]"
2021-05-09,"[1620518400000, 0.6264330224732695]","[1620518400000, 7133230.85533649]","[1620518400000, 203171.46991154086]"
2021-05-10,"[1620604800000, 0.7131114397935995]","[1620604800000, 6942240.202439988]","[1620604800000, 248008.45306607315]"
