date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 59.45426837710696]","[1617667200000, 643186720.1015327]","[1617667200000, 58591469.061216004]"
2021-04-07,"[1617753600000, 57.67898953475474]","[1617753600000, 623514549.4092185]","[1617753600000, 60333020.182484604]"
2021-04-08,"[1617840000000, 50.55764673655404]","[1617840000000, 549558137.791684]","[1617840000000, 113220199.15402877]"
2021-04-09,"[1617926400000, 53.92573909824599]","[1617926400000, 580920678.9491013]","[1617926400000, 86234065.91011618]"
2021-04-10,"[1618012800000, 51.764321294955316]","[1618012800000, 559679217.0457948]","[1618012800000, 45909639.58163693]"
2021-04-11,"[1618099200000, 50.55470783883215]","[1618099200000, 545053105.4565443]","[1618099200000, 69995594.74614476]"
2021-04-12,"[1618185600000, 51.51260837382003]","[1618185600000, 555565186.9412519]","[1618185600000, 52198975.8993521]"
2021-04-13,"[1618272000000, 51.54669847013633]","[1618272000000, 556345733.3099478]","[1618272000000, 56733874.609791614]"
2021-04-14,"[1618358400000, 54.2863130995805]","[1618358400000, 585748908.9656268]","[1618358400000, 71202091.91590211]"
2021-04-15,"[1618444800000, 65.5899215311236]","[1618444800000, 710820684.5972162]","[1618444800000, 262534463.88473696]"
2021-04-16,"[1618531200000, 67.75379801511582]","[1618531200000, 734619307.8791726]","[1618531200000, 321760989.9527515]"
2021-04-17,"[1618617600000, 63.61935778303572]","[1618617600000, 689371329.9492794]","[1618617600000, 136693485.38791737]"
2021-04-18,"[1618704000000, 61.06720014817313]","[1618704000000, 663220222.8697482]","[1618704000000, 91121181.88176607]"
2021-04-19,"[1618790400000, 57.907361131909646]","[1618790400000, 624446273.8603541]","[1618790400000, 171155546.03834215]"
2021-04-20,"[1618876800000, 52.648672739158215]","[1618876800000, 570034816.7524861]","[1618876800000, 157448567.65394694]"
2021-04-21,"[1618963200000, 55.324956024699084]","[1618963200000, 598906092.3991706]","[1618963200000, 171170036.5396321]"
2021-04-22,"[1619049600000, 55.38649775373983]","[1619049600000, 598986683.9467291]","[1619049600000, 164349971.19292414]"
2021-04-23,"[1619136000000, 54.95752907149998]","[1619136000000, 598080996.3871764]","[1619136000000, 166288103.5645489]"
2021-04-24,"[1619222400000, 50.50129544343694]","[1619222400000, 545210660.086642]","[1619222400000, 125103361.31137924]"
2021-04-25,"[1619308800000, 46.30520971056466]","[1619308800000, 502423362.20951784]","[1619308800000, 72543872.84257409]"
2021-04-26,"[1619395200000, 47.85902283601257]","[1619395200000, 513904681.0634838]","[1619395200000, 69003079.76782914]"
2021-04-27,"[1619481600000, 53.32242771584116]","[1619481600000, 574488864.9146093]","[1619481600000, 79849104.55921316]"
2021-04-28,"[1619568000000, 59.40220789324825]","[1619568000000, 639611874.487826]","[1619568000000, 157510992.5317728]"
2021-04-29,"[1619654400000, 58.68896745215346]","[1619654400000, 632703668.3768034]","[1619654400000, 133295605.88651034]"
2021-04-30,"[1619740800000, 59.02121845847546]","[1619740800000, 638418323.1496392]","[1619740800000, 124072647.4682652]"
2021-05-01,"[1619827200000, 61.830815044162996]","[1619827200000, 666914577.8427907]","[1619827200000, 105395195.54722053]"
2021-05-02,"[1619913600000, 63.46939967771428]","[1619913600000, 686782756.8458893]","[1619913600000, 84417209.66547933]"
2021-05-03,"[1620000000000, 61.55867265857848]","[1620000000000, 664549119.8796308]","[1620000000000, 74054203.61561964]"
2021-05-04,"[1620086400000, 72.10072331039704]","[1620086400000, 783543662.6596363]","[1620086400000, 208485135.3758529]"
2021-05-05,"[1620172800000, 64.9263618507473]","[1620172800000, 711453249.7772957]","[1620172800000, 199367105.51940733]"
