,prices,market_caps,total_volumes
0,"[1617667200000, 58706.81559311396]","[1617667200000, 1096202611389.9541]","[1617667200000, 54670173277.08731]"
1,"[1617753600000, 58062.17872433649]","[1617753600000, 1084341670320.8142]","[1617753600000, 61497704158.13829]"
2,"[1617840000000, 56134.41738866435]","[1617840000000, 1050759681844.6099]","[1617840000000, 67617613532.43307]"
3,"[1617926400000, 58065.644024815316]","[1617926400000, 1083362883828.1199]","[1617926400000, 48714359354.07226]"
4,"[1618012800000, 58152.993262141834]","[1618012800000, 1085794662404.731]","[1618012800000, 45880879041.76103]"
5,"[1618099200000, 59979.39281571831]","[1618099200000, 1116221525334.3267]","[1618099200000, 61788197398.73793]"
6,"[1618185600000, 59988.02095852983]","[1618185600000, 1120606689450.4702]","[1618185600000, 46792500386.96501]"
7,"[1618272000000, 59911.020594847316]","[1618272000000, 1118532902101.5269]","[1618272000000, 55994558888.5224]"
8,"[1618358400000, 63576.676041048275]","[1618358400000, 1187737045885.1743]","[1618358400000, 71993120011.18321]"
9,"[1618444800000, 62807.12323259299]","[1618444800000, 1173412921929.8884]","[1618444800000, 80157135507.58896]"
10,"[1618531200000, 63179.772446084695]","[1618531200000, 1179561609816.9358]","[1618531200000, 60495376851.28074]"
11,"[1618617600000, 61497.299569441195]","[1618617600000, 1149602869702.2644]","[1618617600000, 86260673269.76614]"
12,"[1618704000000, 60273.86667694734]","[1618704000000, 1125592412523.221]","[1618704000000, 63808212132.53643]"
13,"[1618790400000, 56288.94534001195]","[1618790400000, 1053618163309.5769]","[1618790400000, 102065957642.22952]"
14,"[1618876800000, 55721.166052695626]","[1618876800000, 1043148020633.034]","[1618876800000, 66156275209.79711]"
15,"[1618963200000, 56294.728558586925]","[1618963200000, 1055145534127.332]","[1618963200000, 68166802215.759544]"
16,"[1619049600000, 54190.07026283405]","[1619049600000, 1012699264345.6595]","[1619049600000, 56115370322.140594]"
17,"[1619136000000, 51965.5664304852]","[1619136000000, 971174701492.849]","[1619136000000, 77897442831.71704]"
18,"[1619222400000, 51191.1246964079]","[1619222400000, 956744203682.2198]","[1619222400000, 91138220375.4599]"
19,"[1619308800000, 50133.1073963654]","[1619308800000, 937014999515.3855]","[1619308800000, 49296256745.65119]"
20,"[1619395200000, 48981.4413932161]","[1619395200000, 915533819859.1393]","[1619395200000, 46233432154.225266]"
21,"[1619481600000, 53978.80554728962]","[1619481600000, 1008389773189.793]","[1619481600000, 60226926859.91649]"
22,"[1619568000000, 54991.81484262107]","[1619568000000, 1027617870421.6592]","[1619568000000, 48468560013.13787]"
23,"[1619654400000, 54810.6138506792]","[1619654400000, 1024625833392.2412]","[1619654400000, 48072930663.01449]"
24,"[1619740800000, 53596.70402266675]","[1619740800000, 1001973605935.3958]","[1619740800000, 46958036373.360306]"
25,"[1619827200000, 57828.511814425874]","[1619827200000, 1082721727348.0433]","[1619827200000, 53879045974.4321]"
26,"[1619913600000, 57812.96915967891]","[1619913600000, 1080897634123.2937]","[1619913600000, 43967070045.82312]"
27,"[1620000000000, 56600.74528738432]","[1620000000000, 1057850321948.5465]","[1620000000000, 39072664393.929405]"
28,"[1620086400000, 57200.30029871162]","[1620086400000, 1069571255195.5189]","[1620086400000, 54132470274.07509]"
29,"[1620172800000, 53464.37021950372]","[1620172800000, 999775008412.3738]","[1620172800000, 71296763919.13268]"
30,"[1620259200000, 57432.100227087576]","[1620259200000, 1070969079353.5304]","[1620259200000, 72158368257.54709]"
31,"[1620345600000, 56507.759439869595]","[1620345600000, 1056801053574.5111]","[1620345600000, 87510802710.77629]"
32,"[1620432000000, 57361.56904328887]","[1620432000000, 1072831991777.4056]","[1620432000000, 68154805947.0942]"
33,"[1620518400000, 58771.881689509355]","[1620518400000, 1099271802311.4957]","[1620518400000, 66812167538.22713]"
