date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.022431228167824727]","[1617667200000, 32567422.594561834]","[1617667200000, 1208712.6029874627]"
2021-04-07,"[1617753600000, 0.023338973612182585]","[1617753600000, 33898740.88611507]","[1617753600000, 1148253.4949932282]"
2021-04-08,"[1617840000000, 0.02086162788016328]","[1617840000000, 30535526.64050414]","[1617840000000, 883471.5209084009]"
2021-04-09,"[1617926400000, 0.022341615021371834]","[1617926400000, 32528646.53966702]","[1617926400000, 1034940.87337065]"
2021-04-10,"[1618012800000, 0.021052188091248737]","[1618012800000, 30553960.351839498]","[1618012800000, 970502.9770864941]"
2021-04-11,"[1618099200000, 0.019481547632020087]","[1618099200000, 28229815.48607614]","[1618099200000, 933862.00037465]"
2021-04-12,"[1618185600000, 0.020998665062296404]","[1618185600000, 30496469.679952737]","[1618185600000, 862989.0433935855]"
2021-04-13,"[1618272000000, 0.017343455455782048]","[1618272000000, 25188407.03160161]","[1618272000000, 977159.2989584297]"
2021-04-14,"[1618358400000, 0.01963869380551057]","[1618358400000, 28521376.402587958]","[1618358400000, 931849.2228015694]"
2021-04-15,"[1618444800000, 0.019326808947455407]","[1618444800000, 28657288.430095073]","[1618444800000, 942422.2777008001]"
2021-04-16,"[1618531200000, 0.018680204275815234]","[1618531200000, 27129357.110209692]","[1618531200000, 460664.83751038054]"
2021-04-17,"[1618617600000, 0.014727490471246923]","[1618617600000, 21390354.941801414]","[1618617600000, 754241.4939333362]"
2021-04-18,"[1618704000000, 0.015081313086427411]","[1618704000000, 21906159.92697758]","[1618704000000, 708589.7807437371]"
2021-04-19,"[1618790400000, 0.015351960025472738]","[1618790400000, 22371152.967036586]","[1618790400000, 677158.6659834427]"
2021-04-20,"[1618876800000, 0.013032255036785356]","[1618876800000, 18926811.27165293]","[1618876800000, 612473.9402489734]"
2021-04-21,"[1618963200000, 0.012008748562213326]","[1618963200000, 17507980.183123402]","[1618963200000, 569929.8902946629]"
2021-04-22,"[1619049600000, 0.011153303706619131]","[1619049600000, 16198000.55437513]","[1619049600000, 616898.6019798138]"
2021-04-23,"[1619136000000, 0.013191117360438053]","[1619136000000, 19157527.844453547]","[1619136000000, 570143.8810273691]"
2021-04-24,"[1619222400000, 0.01255559739800721]","[1619222400000, 18234558.922011137]","[1619222400000, 580298.7428468993]"
2021-04-25,"[1619308800000, 0.01140559264826566]","[1619308800000, 16564401.086822568]","[1619308800000, 505072.10092411295]"
2021-04-26,"[1619395200000, 0.011968164081253316]","[1619395200000, 17381426.483342677]","[1619395200000, 510982.8338870664]"
2021-04-27,"[1619481600000, 0.012675587861194923]","[1619481600000, 18408821.69117439]","[1619481600000, 620391.4484606778]"
2021-04-28,"[1619568000000, 0.013314752124748218]","[1619568000000, 19337083.250951417]","[1619568000000, 420330.28030477173]"
2021-04-29,"[1619654400000, 0.012633271933549626]","[1619654400000, 18343157.925051227]","[1619654400000, 533323.1877087065]"
2021-04-30,"[1619740800000, 0.011981080837613824]","[1619740800000, 17400185.555290475]","[1619740800000, 550012.4505116659]"
2021-05-01,"[1619827200000, 0.011444835255415706]","[1619827200000, 16551030.26618237]","[1619827200000, 596370.9590370493]"
2021-05-02,"[1619913600000, 0.012076308299791297]","[1619913600000, 17538484.890242428]","[1619913600000, 519870.9645328343]"
2021-05-03,"[1620000000000, 0.011524744836052031]","[1620000000000, 16731993.347382925]","[1620000000000, 510249.62191652256]"
2021-05-04,"[1620086400000, 0.015805518155901428]","[1620086400000, 22796494.646842703]","[1620086400000, 883630.506407905]"
2021-05-05,"[1620172800000, 0.015005305430224]","[1620172800000, 21935439.68789205]","[1620172800000, 681096.6210160239]"
2021-05-06,"[1620259200000, 0.017824766064961528]","[1620259200000, 25877018.827111565]","[1620259200000, 837733.7632193135]"
2021-05-07,"[1620345600000, 0.016195235826360555]","[1620345600000, 23475040.714806575]","[1620345600000, 688995.190687878]"
2021-05-08,"[1620432000000, 0.01476219798753443]","[1620432000000, 21390598.514456622]","[1620432000000, 603630.6391540336]"
2021-05-09,"[1620518400000, 0.016518994616604655]","[1620518400000, 23942182.62477712]","[1620518400000, 695715.3892540502]"
2021-05-10,"[1620604800000, 0.015647946060022837]","[1620604800000, 22725592.848750137]","[1620604800000, 665670.6828789145]"
2021-05-11,"[1620691200000, 0.01618997900317663]","[1620691200000, 23512790.09045029]","[1620691200000, 708384.940305748]"
2021-05-12,"[1620777600000, 0.01644717739685004]","[1620777600000, 23849931.110181924]","[1620777600000, 579210.6846141405]"
