date,prices,market_caps,total_volumes
2021-07-17,"[1626480000000, 0.8634990698162961]","[1626480000000, 0.0]","[1626480000000, 44256791.94681006]"
2021-07-18,"[1626566400000, 1.6541094413119346]","[1626566400000, 0.0]","[1626566400000, 111277087.75897606]"
2021-07-19,"[1626652800000, 1.3417489635904327]","[1626652800000, 0.0]","[1626652800000, 31512128.258046735]"
2021-07-20,"[1626739200000, 1.123958627582274]","[1626739200000, 0.0]","[1626739200000, 28738337.64046272]"
2021-07-21,"[1626825600000, 1.1942418132354737]","[1626825600000, 155014859.12480024]","[1626825600000, 31474143.654033475]"
2021-07-22,"[1626912000000, 1.2228281240598335]","[1626912000000, 157473662.6556017]","[1626912000000, 19985914.67241274]"
2021-07-23,"[1626998400000, 1.1824537240941548]","[1626998400000, 153193994.12054726]","[1626998400000, 9726970.37782494]"
2021-07-24,"[1627084800000, 1.1187155607232366]","[1627084800000, 143875539.51632404]","[1627084800000, 9770287.87445587]"
2021-07-25,"[1627171200000, 1.146338208706129]","[1627171200000, 146700230.6072115]","[1627171200000, 7286428.312379792]"
2021-07-26,"[1627257600000, 1.2261725603738536]","[1627257600000, 157906034.12336725]","[1627257600000, 11706109.321975404]"
2021-07-27,"[1627344000000, 1.1468691970774028]","[1627344000000, 146893475.08531216]","[1627344000000, 12675514.115065739]"
2021-07-28,"[1627430400000, 1.1118255490810656]","[1627430400000, 141906688.75534144]","[1627430400000, 7971525.170010742]"
2021-07-29,"[1627516800000, 1.1930658521049695]","[1627516800000, 153667740.07211414]","[1627516800000, 11057786.382963976]"
2021-07-30,"[1627603200000, 1.2767453349478026]","[1627603200000, 164395978.74582496]","[1627603200000, 198063027.2730928]"
2021-07-31,"[1627689600000, 1.2082059959777531]","[1627689600000, 155789252.85301447]","[1627689600000, 55641068.00954519]"
2021-08-01,"[1627776000000, 1.1923690428589777]","[1627776000000, 153971444.01240003]","[1627776000000, 24010779.01124053]"
2021-08-02,"[1627862400000, 1.101728105323831]","[1627862400000, 140414113.527494]","[1627862400000, 16938247.701954287]"
2021-08-03,"[1627948800000, 1.0995511081789664]","[1627948800000, 141735106.51237968]","[1627948800000, 10732073.401207266]"
2021-08-04,"[1628035200000, 1.0094888933053885]","[1628035200000, 130019669.4606518]","[1628035200000, 21591919.443330463]"
2021-08-05,"[1628121600000, 1.1282014264556899]","[1628121600000, 145231423.1480599]","[1628121600000, 33943291.68112002]"
2021-08-06,"[1628208000000, 1.0559861577048173]","[1628208000000, 136656720.1406695]","[1628208000000, 30335055.207134686]"
2021-08-07,"[1628294400000, 1.0546385377872676]","[1628294400000, 135230198.62117416]","[1628294400000, 21784121.370028958]"
2021-08-08,"[1628380800000, 1.0667053756252824]","[1628380800000, 137783898.89563248]","[1628380800000, 18364181.698132772]"
2021-08-09,"[1628467200000, 1.0149632554649086]","[1628467200000, 130282431.36107296]","[1628467200000, 14709205.547281748]"
2021-08-10,"[1628553600000, 1.0799768845720155]","[1628553600000, 137265149.3298455]","[1628553600000, 26273576.74047393]"
