date,prices,market_caps,total_volumes
2021-04-22,"[1619049600000, 9.884856871016707]","[1619049600000, 0.0]","[1619049600000, 769633.8950505555]"
2021-04-23,"[1619136000000, 9.884856871016707]","[1619136000000, 0.0]","[1619136000000, 769633.8950505555]"
2021-04-24,"[1619222400000, 10.78747825191416]","[1619222400000, 0.0]","[1619222400000, 334210.3187253978]"
2021-04-25,"[1619308800000, 11.058630616297124]","[1619308800000, 0.0]","[1619308800000, 489606.8950068961]"
2021-04-26,"[1619395200000, 10.683526367064095]","[1619395200000, 0.0]","[1619395200000, 110862.43671787236]"
2021-04-27,"[1619481600000, 10.148898564030857]","[1619481600000, 0.0]","[1619481600000, 430099.87059216393]"
2021-04-28,"[1619568000000, 13.61431718557219]","[1619568000000, 0.0]","[1619568000000, 955208.4027350106]"
2021-04-29,"[1619654400000, 13.124712515287712]","[1619654400000, 0.0]","[1619654400000, 217457.81360847942]"
2021-04-30,"[1619740800000, 12.578092295877726]","[1619740800000, 0.0]","[1619740800000, 255891.6481499534]"
2021-05-01,"[1619827200000, 11.667186678425551]","[1619827200000, 0.0]","[1619827200000, 152436.88863387002]"
2021-05-02,"[1619913600000, 10.042682335812566]","[1619913600000, 0.0]","[1619913600000, 274171.81784385093]"
2021-05-03,"[1620000000000, 8.718221684111327]","[1620000000000, 0.0]","[1620000000000, 229581.33842943315]"
2021-05-04,"[1620086400000, 9.458236396615098]","[1620086400000, 0.0]","[1620086400000, 81512.44256136443]"
2021-05-05,"[1620172800000, 8.603591568703639]","[1620172800000, 0.0]","[1620172800000, 82594.58155806168]"
2021-05-06,"[1620259200000, 9.226240594935357]","[1620259200000, 0.0]","[1620259200000, 31379.649175500992]"
2021-05-07,"[1620345600000, 8.862508213495593]","[1620345600000, 0.0]","[1620345600000, 75280.54347780943]"
2021-05-08,"[1620432000000, 8.633928067001996]","[1620432000000, 0.0]","[1620432000000, 9779.550530301402]"
2021-05-09,"[1620518400000, 9.385784872442743]","[1620518400000, 0.0]","[1620518400000, 36468.32659646088]"
2021-05-10,"[1620604800000, 8.913488346842225]","[1620604800000, 0.0]","[1620604800000, 35748.511712936626]"
2021-05-11,"[1620691200000, 9.218603293704101]","[1620691200000, 0.0]","[1620691200000, 22369.14358105373]"
2021-05-12,"[1620777600000, 8.506766555606013]","[1620777600000, 0.0]","[1620777600000, 41931.91247885652]"
2021-05-13,"[1620864000000, 9.489507393591424]","[1620864000000, 0.0]","[1620864000000, 185893.9071357176]"
2021-05-14,"[1620950400000, 8.343605026544513]","[1620950400000, 0.0]","[1620950400000, 31063.343759940035]"
2021-05-15,"[1621036800000, 9.417642859496693]","[1621036800000, 0.0]","[1621036800000, 303984.7956897882]"
2021-05-16,"[1621123200000, 8.693855610121103]","[1621123200000, 0.0]","[1621123200000, 25373.484762175798]"
2021-05-17,"[1621209600000, 7.746895224241951]","[1621209600000, 0.0]","[1621209600000, 55573.061379000275]"
2021-05-18,"[1621296000000, 7.779167822041687]","[1621296000000, 0.0]","[1621296000000, 87677.9511166164]"
2021-05-19,"[1621382400000, 7.914339235024355]","[1621382400000, 0.0]","[1621382400000, 18391.14687008987]"
2021-05-20,"[1621468800000, 7.180262939095434]","[1621468800000, 15503604.58481004]","[1621468800000, 102404.0865267011]"
2021-05-21,"[1621555200000, 7.770638205472243]","[1621555200000, 16518915.157587787]","[1621555200000, 36922.61457019037]"
2021-05-22,"[1621641600000, 5.609222857041038]","[1621641600000, 11656881.027519638]","[1621641600000, 482998.7171388855]"
2021-05-23,"[1621728000000, 4.139278780329265]","[1621728000000, 8736023.72833121]","[1621728000000, 243581.18339650438]"
2021-05-24,"[1621814400000, 3.654858736800226]","[1621814400000, 7684434.298476642]","[1621814400000, 54469.13951986197]"
2021-05-25,"[1621900800000, 5.60890453372489]","[1621900800000, 11672358.255663287]","[1621900800000, 94292.60981589353]"
2021-05-26,"[1621987200000, 5.8643071144711865]","[1621987200000, 11813727.318298701]","[1621987200000, 71416.95130248075]"
2021-05-27,"[1622073600000, 6.144844912817276]","[1622073600000, 12937189.958976725]","[1622073600000, 12190.499235681522]"
2021-05-28,"[1622160000000, 6.833963951536805]","[1622160000000, 13865749.457784379]","[1622160000000, 248208.23907071818]"
2021-05-29,"[1622246400000, 5.968027592064881]","[1622246400000, 3554303.886422138]","[1622246400000, 40183.06879491148]"
2021-05-30,"[1622332800000, 5.564579500594377]","[1622332800000, 3330658.522951656]","[1622332800000, 4390.393804782023]"
2021-05-31,"[1622419200000, 5.732018541887441]","[1622419200000, 3513697.528294021]","[1622419200000, 31688.459709852137]"
2021-06-01,"[1622505600000, 6.112892691356683]","[1622505600000, 3713791.124343453]","[1622505600000, 1263.614371297223]"
2021-06-02,"[1622592000000, 6.012161012113067]","[1622592000000, 3623675.0264093173]","[1622592000000, 22195.445630994145]"
2021-06-03,"[1622678400000, 6.287140743537501]","[1622678400000, 3864331.784975599]","[1622678400000, 25230.06224892442]"
2021-06-04,"[1622764800000, 7.364350525693702]","[1622764800000, 4459578.802336483]","[1622764800000, 176563.76148768558]"
2021-06-05,"[1622851200000, 6.147201257299222]","[1622851200000, 3828594.572660028]","[1622851200000, 62153.3305309831]"
2021-06-06,"[1622937600000, 4.9239880100567905]","[1622937600000, 3000826.9455800927]","[1622937600000, 102943.40654487255]"
2021-06-07,"[1623024000000, 5.160351971665761]","[1623024000000, 3142177.637655263]","[1623024000000, 24341.3505453793]"
2021-06-08,"[1623110400000, 4.805731349094941]","[1623110400000, 3086785.0395228676]","[1623110400000, 19479.77142089898]"
2021-06-09,"[1623196800000, 4.210278269421433]","[1623196800000, 2604302.594120253]","[1623196800000, 47554.624893521315]"
2021-06-10,"[1623283200000, 4.384890776673352]","[1623283200000, 2696451.807572738]","[1623283200000, 70524.69397103113]"
2021-06-11,"[1623369600000, 4.209222676867807]","[1623369600000, 2590555.041235482]","[1623369600000, 15545.992497626012]"
2021-06-12,"[1623456000000, 4.14424124008169]","[1623456000000, 2598273.562233955]","[1623456000000, 59184.96437689892]"
2021-06-13,"[1623542400000, 4.18220724350764]","[1623542400000, 2614473.3713430967]","[1623542400000, 5661.8272831754375]"
2021-06-14,"[1623628800000, 4.641782946196616]","[1623628800000, 2900352.071552051]","[1623628800000, 66340.01121942567]"
2021-06-15,"[1623715200000, 5.1280709988082895]","[1623715200000, 3185237.85041686]","[1623715200000, 81695.9071405254]"
2021-06-16,"[1623801600000, 4.425027519269001]","[1623801600000, 2774536.1613161266]","[1623801600000, 163580.40037051062]"
2021-06-17,"[1623888000000, 4.089478229191174]","[1623888000000, 2584718.429872248]","[1623888000000, 14054.950459559508]"
2021-06-18,"[1623974400000, 4.0963315685950805]","[1623974400000, 2591015.678531773]","[1623974400000, 1949.690550983141]"
2021-06-19,"[1624060800000, 3.7470364568155525]","[1624060800000, 2318412.6064470867]","[1624060800000, 19981.14384359044]"
2021-06-20,"[1624147200000, 3.695240992775734]","[1624147200000, 6032354.6769589875]","[1624147200000, 31592.725839458035]"
2021-06-21,"[1624233600000, 3.7831899622150496]","[1624233600000, 5953368.927090607]","[1624233600000, 7336.428211649584]"
2021-06-22,"[1624320000000, 2.876984784573225]","[1624320000000, 4840876.53797067]","[1624320000000, 67341.75224495571]"
