date,prices,market_caps,total_volumes
2021-10-05,"[1633392000000, 9.081807957845568]","[1633392000000, 0.0]","[1633392000000, 150589.69967725576]"
2021-10-06,"[1633478400000, 9.081807957845568]","[1633478400000, 0.0]","[1633478400000, 150589.69967725576]"
2021-10-07,"[1633564800000, 8.703251576993395]","[1633564800000, 0.0]","[1633564800000, 98121.37986419412]"
2021-10-08,"[1633651200000, 10.097763419694129]","[1633651200000, 0.0]","[1633651200000, 81839.4458274643]"
2021-10-09,"[1633737600000, 12.11565546478773]","[1633737600000, 0.0]","[1633737600000, 166520.6430854313]"
2021-10-10,"[1633824000000, 10.4960043983105]","[1633824000000, 0.0]","[1633824000000, 96393.45071216793]"
2021-10-11,"[1633910400000, 8.389409046571574]","[1633910400000, 0.0]","[1633910400000, 88314.40968105318]"
2021-10-12,"[1633996800000, 10.216419733856494]","[1633996800000, 0.0]","[1633996800000, 167936.54367837022]"
2021-10-13,"[1634083200000, 11.340066387693392]","[1634083200000, 0.0]","[1634083200000, 234729.0317646076]"
2021-10-14,"[1634169600000, 10.867252554314618]","[1634169600000, 0.0]","[1634169600000, 142045.1798541802]"
2021-10-15,"[1634256000000, 13.616929152377889]","[1634256000000, 0.0]","[1634256000000, 334755.7116342038]"
2021-10-16,"[1634342400000, 11.97165312621954]","[1634342400000, 0.0]","[1634342400000, 165448.32049264794]"
2021-10-17,"[1634428800000, 10.39887567220575]","[1634428800000, 0.0]","[1634428800000, 73335.66795881507]"
2021-10-18,"[1634515200000, 11.57236511145755]","[1634515200000, 0.0]","[1634515200000, 107250.09485655618]"
2021-10-19,"[1634601600000, 12.214687834592125]","[1634601600000, 0.0]","[1634601600000, 28620.490344415994]"
2021-10-20,"[1634688000000, 14.117297726255519]","[1634688000000, 0.0]","[1634688000000, 260037.8087387277]"
2021-10-21,"[1634774400000, 18.068294625308194]","[1634774400000, 0.0]","[1634774400000, 167072.4527852035]"
2021-10-22,"[1634860800000, 20.373823540530076]","[1634860800000, 0.0]","[1634860800000, 976149.8174988511]"
2021-10-23,"[1634947200000, 21.487875804101375]","[1634947200000, 0.0]","[1634947200000, 693523.4242363692]"
2021-10-24,"[1635033600000, 32.816505387703806]","[1635033600000, 0.0]","[1635033600000, 1553012.9175379858]"
2021-10-25,"[1635120000000, 25.945260692682034]","[1635120000000, 0.0]","[1635120000000, 1513981.2929828542]"
2021-10-26,"[1635206400000, 30.149608308428586]","[1635206400000, 0.0]","[1635206400000, 490467.6433894167]"
2021-10-27,"[1635292800000, 25.34369120238593]","[1635292800000, 0.0]","[1635292800000, 1057670.3083906763]"
2021-10-28,"[1635379200000, 25.604280596982377]","[1635379200000, 0.0]","[1635379200000, 499668.18647099455]"
2021-10-29,"[1635465600000, 28.504673969996805]","[1635465600000, 0.0]","[1635465600000, 1322614.8155351353]"
2021-10-30,"[1635552000000, 30.172587617410954]","[1635552000000, 0.0]","[1635552000000, 606500.4898401554]"
2021-10-31,"[1635638400000, 30.871222805586715]","[1635638400000, 0.0]","[1635638400000, 370386.6597604206]"
2021-11-01,"[1635724800000, 27.494530350086247]","[1635724800000, 0.0]","[1635724800000, 443658.6186337456]"
2021-11-02,"[1635811200000, 25.052883330516355]","[1635811200000, 0.0]","[1635811200000, 369783.9507932898]"
2021-11-03,"[1635897600000, 23.536707853172246]","[1635897600000, 0.0]","[1635897600000, 354060.57109605265]"
2021-11-04,"[1635984000000, 24.61827367216747]","[1635984000000, 0.0]","[1635984000000, 431393.1341761863]"
2021-11-05,"[1636070400000, 23.076825698301036]","[1636070400000, 0.0]","[1636070400000, 546931.3413262048]"
2021-11-06,"[1636156800000, 22.744849668453675]","[1636156800000, 0.0]","[1636156800000, 252069.78489917438]"
2021-11-07,"[1636243200000, 24.1068196926086]","[1636243200000, 0.0]","[1636243200000, 372580.7038031295]"
2021-11-08,"[1636329600000, 21.267462497168903]","[1636329600000, 0.0]","[1636329600000, 415910.14833169867]"
2021-11-09,"[1636416000000, 21.289154194490088]","[1636416000000, 0.0]","[1636416000000, 267664.5075854064]"
2021-11-10,"[1636502400000, 16.178252814216954]","[1636502400000, 0.0]","[1636502400000, 379839.72069535905]"
2021-11-11,"[1636588800000, 13.670560019246551]","[1636588800000, 0.0]","[1636588800000, 311542.1522590594]"
2021-11-12,"[1636675200000, 17.86900791454457]","[1636675200000, 0.0]","[1636675200000, 461968.22743375326]"
2021-11-13,"[1636761600000, 15.51286145566241]","[1636761600000, 0.0]","[1636761600000, 578201.1007757538]"
2021-11-14,"[1636848000000, 14.94536729530051]","[1636848000000, 0.0]","[1636848000000, 207586.40888712805]"
2021-11-15,"[1636934400000, 12.09078300751831]","[1636934400000, 0.0]","[1636934400000, 390799.506278028]"
2021-11-16,"[1637020800000, 12.237024611937912]","[1637020800000, 0.0]","[1637020800000, 79769.59778114827]"
2021-11-17,"[1637107200000, 10.592853803677313]","[1637107200000, 0.0]","[1637107200000, 181949.667139968]"
2021-11-18,"[1637193600000, 10.91133169430895]","[1637193600000, 0.0]","[1637193600000, 107184.67137208606]"
2021-11-19,"[1637280000000, 9.415951684558475]","[1637280000000, 0.0]","[1637280000000, 151702.88494544395]"
2021-11-20,"[1637366400000, 9.253980856778913]","[1637366400000, 0.0]","[1637366400000, 100805.82462916765]"
2021-11-21,"[1637452800000, 10.03956419046031]","[1637452800000, 0.0]","[1637452800000, 140553.4103262852]"
2021-11-22,"[1637539200000, 10.509505565354658]","[1637539200000, 0.0]","[1637539200000, 132149.13528315027]"
2021-11-23,"[1637625600000, 9.315597035445837]","[1637625600000, 0.0]","[1637625600000, 163093.59120909416]"
2021-11-24,"[1637712000000, 9.76059223036249]","[1637712000000, 0.0]","[1637712000000, 134785.98259298177]"
2021-11-25,"[1637798400000, 7.959455496259894]","[1637798400000, 0.0]","[1637798400000, 127851.38561142]"
2021-11-26,"[1637884800000, 7.617707715572999]","[1637884800000, 0.0]","[1637884800000, 100419.20011612165]"
2021-11-27,"[1637971200000, 6.598194773409763]","[1637971200000, 0.0]","[1637971200000, 116726.79191001772]"
2021-11-28,"[1638057600000, 6.481549335685474]","[1638057600000, 0.0]","[1638057600000, 80787.1541144433]"
2021-11-29,"[1638144000000, 6.616256889473794]","[1638144000000, 0.0]","[1638144000000, 57663.83392212595]"
2021-11-30,"[1638230400000, 6.315768872788619]","[1638230400000, 0.0]","[1638230400000, 73778.48349773482]"
2021-12-01,"[1638316800000, 5.8996608786446565]","[1638316800000, 0.0]","[1638316800000, 88927.78176356413]"
2021-12-02,"[1638403200000, 5.743759813859291]","[1638403200000, 0.0]","[1638403200000, 109003.65261202212]"
2021-12-03,"[1638489600000, 5.209799050550234]","[1638489600000, 0.0]","[1638489600000, 83880.39717985087]"
2021-12-04,"[1638576000000, 4.579564696098691]","[1638576000000, 0.0]","[1638576000000, 141346.2874308839]"
