date,prices,market_caps,total_volumes
2021-05-25,"[1621900800000, 6.536795520366217]","[1621900800000, 0.0]","[1621900800000, 6073912.383413372]"
2021-05-26,"[1621987200000, 6.536795520366217]","[1621987200000, 0.0]","[1621987200000, 6073912.383413372]"
2021-05-27,"[1622073600000, 6.293522571291256]","[1622073600000, 61864730.75917811]","[1622073600000, 27772081.824961953]"
2021-05-28,"[1622160000000, 5.362166146369717]","[1622160000000, 55221488.73130557]","[1622160000000, 6084392.336603379]"
2021-05-29,"[1622246400000, 4.7961103644966645]","[1622246400000, 50682051.93262282]","[1622246400000, 6848788.800155633]"
2021-05-30,"[1622332800000, 4.6373896139372865]","[1622332800000, 48732121.46143899]","[1622332800000, 2767825.5269108163]"
2021-05-31,"[1622419200000, 5.438274206489129]","[1622419200000, 58930224.203747995]","[1622419200000, 2451304.5032981583]"
2021-06-01,"[1622505600000, 6.182012163028978]","[1622505600000, 68156263.68033846]","[1622505600000, 3463931.195264147]"
2021-06-02,"[1622592000000, 5.709756970483336]","[1622592000000, 63168344.622289516]","[1622592000000, 2055708.2259774911]"
2021-06-03,"[1622678400000, 5.8431425629171025]","[1622678400000, 75907376.27390839]","[1622678400000, 1385171.424564363]"
2021-06-04,"[1622764800000, 6.747273003593693]","[1622764800000, 90742051.38129056]","[1622764800000, 3902615.573353455]"
2021-06-05,"[1622851200000, 8.457339669566128]","[1622851200000, 113808741.58645268]","[1622851200000, 9928418.867920276]"
2021-06-06,"[1622937600000, 8.511646580499347]","[1622937600000, 113684756.30528007]","[1622937600000, 12686634.192443006]"
2021-06-07,"[1623024000000, 10.257614540620935]","[1623024000000, 139348415.49585596]","[1623024000000, 15928728.988005439]"
2021-06-08,"[1623110400000, 8.588048022226443]","[1623110400000, 124113844.95136954]","[1623110400000, 14112446.616687037]"
2021-06-09,"[1623196800000, 10.036791071097424]","[1623196800000, 141850088.65896246]","[1623196800000, 28874950.00538578]"
2021-06-10,"[1623283200000, 9.900968359227875]","[1623283200000, 137280974.84103534]","[1623283200000, 14370324.824742945]"
2021-06-11,"[1623369600000, 13.88627428415305]","[1623369600000, 197334590.13555253]","[1623369600000, 201365453.3451054]"
2021-06-12,"[1623456000000, 12.223996419566737]","[1623456000000, 173740384.09538573]","[1623456000000, 283892137.2439512]"
2021-06-13,"[1623542400000, 11.244032392256027]","[1623542400000, 160426812.73932347]","[1623542400000, 72062193.82662436]"
2021-06-14,"[1623628800000, 10.353971473123622]","[1623628800000, 146935605.35966453]","[1623628800000, 46962503.78731633]"
2021-06-15,"[1623715200000, 10.435260688667912]","[1623715200000, 148188874.13485008]","[1623715200000, 54541371.31617388]"
2021-06-16,"[1623801600000, 10.647045065553952]","[1623801600000, 151115769.37813172]","[1623801600000, 37270051.531360365]"
2021-06-17,"[1623888000000, 9.079192427319814]","[1623888000000, 128542481.36455028]","[1623888000000, 38096185.40710824]"
2021-06-18,"[1623974400000, 8.413245847378127]","[1623974400000, 119481620.42541815]","[1623974400000, 26666341.955896154]"
2021-06-19,"[1624060800000, 7.98427440874722]","[1624060800000, 113539421.77520405]","[1624060800000, 34686978.26849038]"
2021-06-20,"[1624147200000, 7.931158375067542]","[1624147200000, 112651259.25375994]","[1624147200000, 20278912.157566357]"
