date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.009083526388581157]","[1617667200000, 1091575.8191229298]","[1617667200000, 179316.3644929046]"
2021-04-07,"[1617753600000, 0.009119821720436612]","[1617753600000, 1095975.5019288934]","[1617753600000, 395911.75781664]"
2021-04-08,"[1617840000000, 0.009064880135832943]","[1617840000000, 1092036.3260016635]","[1617840000000, 800968.420095734]"
2021-04-09,"[1617926400000, 0.009192391232216837]","[1617926400000, 1104549.806621933]","[1617926400000, 654989.8841623713]"
2021-04-10,"[1618012800000, 0.009106072521099044]","[1618012800000, 1090980.5923080952]","[1618012800000, 281018.441686727]"
2021-04-11,"[1618099200000, 0.009174990826240877]","[1618099200000, 1099934.830821427]","[1618099200000, 5365617.050064941]"
2021-04-12,"[1618185600000, 0.009116773466982662]","[1618185600000, 1095559.3392864408]","[1618185600000, 669345.1954708787]"
2021-04-13,"[1618272000000, 0.009125736496176687]","[1618272000000, 1096903.632049757]","[1618272000000, 77472.01200148255]"
2021-04-14,"[1618358400000, 0.009154521547662369]","[1618358400000, 1099999.4179695363]","[1618358400000, 171454.7557709561]"
2021-04-15,"[1618444800000, 0.00920722975158388]","[1618444800000, 1106883.641892613]","[1618444800000, 184483.8816527167]"
2021-04-16,"[1618531200000, 0.009181679994639088]","[1618531200000, 1103262.7535476775]","[1618531200000, 98307.40932324888]"
2021-04-17,"[1618617600000, 0.009162062892012999]","[1618617600000, 1101291.8946644377]","[1618617600000, 49004.01464454065]"
2021-04-18,"[1618704000000, 0.009167764488744592]","[1618704000000, 1103090.852116698]","[1618704000000, 118861.10690408062]"
2021-04-19,"[1618790400000, 0.009135490039223952]","[1618790400000, 1099311.898252818]","[1618790400000, 2159728.3935230775]"
2021-04-20,"[1618876800000, 0.009225817779637786]","[1618876800000, 1110293.7487065291]","[1618876800000, 128666.85254657481]"
2021-04-21,"[1618963200000, 0.00919660353388551]","[1618963200000, 1106124.3999005447]","[1618963200000, 1296032.1832023421]"
2021-04-22,"[1619049600000, 0.009025603626692223]","[1619049600000, 1084697.7362986486]","[1619049600000, 32304.88335294132]"
2021-04-23,"[1619136000000, 0.009285293218826051]","[1619136000000, 1114763.9991790338]","[1619136000000, 222139.14599042162]"
2021-04-24,"[1619222400000, 0.009277389090134496]","[1619222400000, 1109285.7350599808]","[1619222400000, 1664192.9362982127]"
2021-04-25,"[1619308800000, 0.009224232506586584]","[1619308800000, 1111161.764661246]","[1619308800000, 204442.08910944112]"
2021-04-26,"[1619395200000, 0.009332811522516525]","[1619395200000, 1117951.3671265682]","[1619395200000, 221522.50928570432]"
2021-04-27,"[1619481600000, 0.009255567712270775]","[1619481600000, 1108381.3912075658]","[1619481600000, 690999.7388055322]"
2021-04-28,"[1619568000000, 0.009197696204609175]","[1619568000000, 1102446.3797650428]","[1619568000000, 215735.56186849572]"
2021-04-29,"[1619654400000, 0.009182587709530881]","[1619654400000, 1102713.684350516]","[1619654400000, 211081.8953523891]"
2021-04-30,"[1619740800000, 0.009181265626638502]","[1619740800000, 1104163.8947213518]","[1619740800000, 1232007.345342936]"
2021-05-01,"[1619827200000, 0.00915155725975328]","[1619827200000, 1090430.4024672695]","[1619827200000, 37365.766343872936]"
2021-05-02,"[1619913600000, 0.009148513599045189]","[1619913600000, 1095547.122560235]","[1619913600000, 18185.03167099015]"
2021-05-03,"[1620000000000, 0.009156103568067493]","[1620000000000, 1100749.19415606]","[1620000000000, 65329.1123188908]"
2021-05-04,"[1620086400000, 0.00911773115223474]","[1620086400000, 1095578.715768273]","[1620086400000, 32008.215491010265]"
2021-05-05,"[1620172800000, 0.008994464467922592]","[1620172800000, 1079704.0703194726]","[1620172800000, 71171.61021975515]"
2021-05-06,"[1620259200000, 0.009236199285294662]","[1620259200000, 1110358.268713771]","[1620259200000, 22130.287262596674]"
2021-05-07,"[1620345600000, 0.009225699705011817]","[1620345600000, 1105902.220561562]","[1620345600000, 23892.302321491326]"
2021-05-08,"[1620432000000, 0.009106460413604257]","[1620432000000, 1100981.6551622949]","[1620432000000, 21025.655218046923]"
2021-05-09,"[1620518400000, 0.009175699854508453]","[1620518400000, 1109897.2151200061]","[1620518400000, 36066.74547124658]"
2021-05-10,"[1620604800000, 0.009256014785239504]","[1620604800000, 1106118.3475334293]","[1620604800000, 8684.612876305322]"
2021-05-11,"[1620691200000, 0.009230094376911222]","[1620691200000, 1109080.1839882995]","[1620691200000, 1310619.7580333042]"
2021-05-12,"[1620777600000, 0.009178780367602796]","[1620777600000, 1104338.2884167521]","[1620777600000, 648173.0239050471]"
2021-05-13,"[1620864000000, 0.008743551945032102]","[1620864000000, 1071540.405975815]","[1620864000000, 13064672.707954412]"
