date,prices,market_caps,total_volumes
2021-04-06,266.1565354789855,135837991.00411388,3244786.232251341
2021-04-07,212.33121579114092,109393763.20296127,5054890.444187222
2021-04-08,218.98718666673258,112480213.64533217,3803876.1928761075
2021-04-09,234.9313026733969,122169832.31508459,2681744.7923367186
2021-04-10,241.2984994232417,124585529.45829304,5197922.20033902
2021-04-11,225.37248863463105,115544175.03234905,5309903.63410091
2021-04-12,227.20485156733932,117372914.11919677,2282894.2774635595
2021-04-13,229.99406483714017,118781734.55583991,3313577.2998954006
2021-04-14,261.83536574607933,137213582.37698865,5741680.665587936
2021-04-15,275.32489576250134,143836823.16224226,8042349.7039822005
2021-04-16,346.26057480800836,181056122.2790829,16655341.202690069
2021-04-17,310.71486541077934,162382933.1675313,5914856.285982553
2021-04-18,290.3401841869427,152785093.87712023,4393802.534233722
2021-04-19,243.6133101571055,127792429.19831575,5531055.107877707
2021-04-20,252.5272965018216,131816664.74515149,3241370.8186576962
2021-04-21,252.23805956206775,133569740.37517968,2616055.1244560964
2021-04-22,207.07456534388982,109302924.71683958,6215250.041857503
2021-04-23,222.49155932973468,117878436.21082047,5271776.238307276
2021-04-24,210.22064604840594,110449880.1554649,2647718.642294466
2021-04-25,197.4132141789462,104906561.69792563,1659315.236223513
2021-04-26,195.72275397937318,103329979.71230431,1643744.949903836
2021-04-27,218.77809944977622,115569949.5015386,3383690.140738712
2021-04-28,194.31692342947866,103655176.87051252,2713451.991505123
2021-04-29,191.74518085659332,102426665.72975859,2006754.5010376188
2021-04-30,193.0440398548772,103057213.65983236,2232692.00371064
2021-05-01,198.749808063135,106002662.47059655,1560350.4646049389
2021-05-02,191.45805917608612,102793203.21996164,1661375.051663863
2021-05-03,167.12827959152472,89158566.03721981,5720466.252828949
2021-05-04,165.0573424620628,87778846.72284472,3514453.3276715847
2021-05-05,159.33990807324588,86277413.10127918,1991704.5813979814
2021-05-06,169.57977853800836,91026540.14299327,1422086.3219227458
2021-05-07,166.41681493203322,89047059.82363139,1560100.6537908814
2021-05-08,164.33762870534738,88336390.85722166,1706051.1601221168
2021-05-09,163.35950503797002,87448140.06704663,1573044.15369028
2021-05-10,171.8388088352867,92465202.64750203,1340661.9042452858
2021-05-11,167.68220631343303,89817341.70902346,1358963.9620634192
2021-05-12,163.62041327115637,84380715.24537264,1606565.6072405677
