date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.46231580043889725]","[1617667200000, 14676359.947798438]","[1617667200000, 103329.40190105738]"
2021-04-07,"[1617753600000, 0.4612197285635346]","[1617753600000, 14597971.55242678]","[1617753600000, 256904.2157493466]"
2021-04-08,"[1617840000000, 0.44602623951094794]","[1617840000000, 14161492.063347204]","[1617840000000, 142341.78860499975]"
2021-04-09,"[1617926400000, 0.45928032314874]","[1617926400000, 14525529.030304745]","[1617926400000, 198983.92099011343]"
2021-04-10,"[1618012800000, 0.4376160527123166]","[1618012800000, 13845638.45384944]","[1618012800000, 131450.97868717337]"
2021-04-11,"[1618099200000, 0.44924724188202003]","[1618099200000, 14270244.829634055]","[1618099200000, 128614.80114199292]"
2021-04-12,"[1618185600000, 0.4475337699887025]","[1618185600000, 14153124.114251748]","[1618185600000, 133845.52692492987]"
2021-04-13,"[1618272000000, 0.44240824583581606]","[1618272000000, 13997207.724733613]","[1618272000000, 159804.75285872992]"
2021-04-14,"[1618358400000, 0.4551627689693024]","[1618358400000, 14392751.57556481]","[1618358400000, 300109.8028626433]"
2021-04-15,"[1618444800000, 0.45018341261492706]","[1618444800000, 14161805.276014166]","[1618444800000, 301952.45175138616]"
2021-04-16,"[1618531200000, 0.4694282785197986]","[1618531200000, 14839459.557552628]","[1618531200000, 197990.84973795767]"
2021-04-17,"[1618617600000, 0.4514611230437439]","[1618617600000, 14195100.736675922]","[1618617600000, 178539.34261444016]"
2021-04-18,"[1618704000000, 0.44059868436251665]","[1618704000000, 13931388.125329442]","[1618704000000, 123362.51374753406]"
2021-04-19,"[1618790400000, 0.3958197889911759]","[1618790400000, 12523255.619358025]","[1618790400000, 640525.8882710093]"
2021-04-20,"[1618876800000, 0.3792651613253445]","[1618876800000, 12080056.224429348]","[1618876800000, 340602.0493382708]"
2021-04-21,"[1618963200000, 0.38364621732810095]","[1618963200000, 12258652.072270364]","[1618963200000, 139403.9257110165]"
2021-04-22,"[1619049600000, 0.3739685010487079]","[1619049600000, 11871877.293216215]","[1619049600000, 252434.9244320076]"
2021-04-23,"[1619136000000, 0.3685715821696006]","[1619136000000, 11677028.04329231]","[1619136000000, 276565.8407056772]"
2021-04-24,"[1619222400000, 0.3520090488899183]","[1619222400000, 11105445.399979861]","[1619222400000, 284076.64094125543]"
2021-04-25,"[1619308800000, 0.3474425486001903]","[1619308800000, 10982145.200540043]","[1619308800000, 93830.78450053024]"
2021-04-26,"[1619395200000, 0.339395474055154]","[1619395200000, 10744795.825363103]","[1619395200000, 107139.25457512296]"
2021-04-27,"[1619481600000, 0.3719886449062409]","[1619481600000, 11761566.57588512]","[1619481600000, 183563.552393109]"
2021-04-28,"[1619568000000, 0.38255315483559127]","[1619568000000, 12110564.316439528]","[1619568000000, 144971.06195252796]"
2021-04-29,"[1619654400000, 0.3857902717837043]","[1619654400000, 12202987.196167605]","[1619654400000, 98765.45697040265]"
2021-04-30,"[1619740800000, 0.38330436076217994]","[1619740800000, 12124298.63624388]","[1619740800000, 124358.28312908139]"
2021-05-01,"[1619827200000, 0.4044280725401031]","[1619827200000, 12795611.217348436]","[1619827200000, 236707.78044951093]"
2021-05-02,"[1619913600000, 0.41526137962348125]","[1619913600000, 13142645.792916277]","[1619913600000, 64377.96340270357]"
2021-05-03,"[1620000000000, 0.4060487577420021]","[1620000000000, 12912100.03516687]","[1620000000000, 84797.91385402824]"
2021-05-04,"[1620086400000, 0.44144365067307945]","[1620086400000, 13976559.37621281]","[1620086400000, 376971.1244956152]"
2021-05-05,"[1620172800000, 0.41320044239800036]","[1620172800000, 13204702.82896601]","[1620172800000, 395067.6041136808]"
2021-05-06,"[1620259200000, 0.4356645705105682]","[1620259200000, 13797216.446384555]","[1620259200000, 240321.505575728]"
2021-05-07,"[1620345600000, 0.4271604906650876]","[1620345600000, 13551568.573925016]","[1620345600000, 247588.92599014455]"
2021-05-08,"[1620432000000, 0.42350747026712054]","[1620432000000, 13420435.477158792]","[1620432000000, 86911.16899620897]"
2021-05-09,"[1620518400000, 0.45289154068451376]","[1620518400000, 14396094.951008081]","[1620518400000, 228619.0702093989]"
2021-05-10,"[1620604800000, 0.46169176695793057]","[1620604800000, 14630449.292632898]","[1620604800000, 207112.65906936378]"
2021-05-11,"[1620691200000, 0.4555681885505716]","[1620691200000, 14437956.496593995]","[1620691200000, 512228.4083026925]"
2021-05-12,"[1620777600000, 0.46466653318833345]","[1620777600000, 14875285.113595877]","[1620777600000, 90811.23316996878]"
2021-05-13,"[1620864000000, 0.43171661665133737]","[1620864000000, 14168728.483047558]","[1620864000000, 522810.611667667]"
2021-05-14,"[1620950400000, 0.41639180280425653]","[1620950400000, 13304956.694733473]","[1620950400000, 420957.3926770454]"
2021-05-15,"[1621036800000, 0.4411240324737433]","[1621036800000, 14111020.068639463]","[1621036800000, 221596.99092495668]"
