date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 73.17543979460856]","[1617667200000, 2633544.735715329]","[1617667200000, 789095.4185228305]"
2021-04-07,"[1617753600000, 29.76237305763728]","[1617753600000, 3066203.864675016]","[1617753600000, 1541955.4565571605]"
2021-04-08,"[1617840000000, 23.85151138791943]","[1617840000000, 4254876.536453932]","[1617840000000, 1450588.3060428163]"
2021-04-09,"[1617926400000, 20.4227362880455]","[1617926400000, 5005803.269505485]","[1617926400000, 930273.4968412452]"
2021-04-10,"[1618012800000, 17.46007156306095]","[1618012800000, 7009245.965024841]","[1618012800000, 1264449.3016707257]"
2021-04-11,"[1618099200000, 18.212843656467307]","[1618099200000, 7841629.085449513]","[1618099200000, 1589702.339813049]"
2021-04-12,"[1618185600000, 18.08688420156532]","[1618185600000, 9433062.522726864]","[1618185600000, 1731870.7591199952]"
2021-04-13,"[1618272000000, 24.090086140797933]","[1618272000000, 14798596.600158006]","[1618272000000, 2311763.6990385633]"
2021-04-14,"[1618358400000, 28.71425418178651]","[1618358400000, 18339498.892641757]","[1618358400000, 4201878.864269866]"
2021-04-15,"[1618444800000, 37.80660999205829]","[1618444800000, 28869304.126778103]","[1618444800000, 8712758.530086622]"
2021-04-16,"[1618531200000, 35.44685086380461]","[1618531200000, 38189748.3489253]","[1618531200000, 5983992.753886174]"
2021-04-17,"[1618617600000, 31.831062598723427]","[1618617600000, 149540052.56557712]","[1618617600000, 5392184.657209646]"
2021-04-18,"[1618704000000, 22.7428204072472]","[1618704000000, 96231852.53307746]","[1618704000000, 3396380.7833546004]"
2021-04-19,"[1618790400000, 36.11800313115519]","[1618790400000, 40992629.83879388]","[1618790400000, 10336992.569686182]"
2021-04-20,"[1618876800000, 30.34886092947326]","[1618876800000, 36238885.06365923]","[1618876800000, 4435663.845001375]"
2021-04-21,"[1618963200000, 29.196243197675074]","[1618963200000, 36268890.50133542]","[1618963200000, 3798829.155065127]"
2021-04-22,"[1619049600000, 30.68264460766119]","[1619049600000, 51277606.74392419]","[1619049600000, 3949500.545911765]"
2021-04-23,"[1619136000000, 38.18724750374362]","[1619136000000, 70009190.9439768]","[1619136000000, 8076103.044531311]"
2021-04-24,"[1619222400000, 42.5642490446847]","[1619222400000, 78789037.14506936]","[1619222400000, 10177013.23324466]"
2021-04-25,"[1619308800000, 47.845476457474476]","[1619308800000, 94490137.22504598]","[1619308800000, 10795988.032324746]"
