date,prices,market_caps,total_volumes
2021-04-09,"[1617926400000, 0.20849500312964]","[1617926400000, 0.0]","[1617926400000, 7416160.916593174]"
2021-04-10,"[1618012800000, 0.20849500312964]","[1618012800000, 0.0]","[1618012800000, 7416160.916593174]"
2021-04-11,"[1618099200000, 0.2399188055351073]","[1618099200000, 0.0]","[1618099200000, 73929271.76534992]"
2021-04-12,"[1618185600000, 0.22476137792918968]","[1618185600000, 0.0]","[1618185600000, 20351732.442067884]"
2021-04-13,"[1618272000000, 0.1920827005103382]","[1618272000000, 0.0]","[1618272000000, 3299083.9004691085]"
2021-04-14,"[1618358400000, 0.21375226487600588]","[1618358400000, 0.0]","[1618358400000, 33504395.885694783]"
2021-04-15,"[1618444800000, 0.19813152664526465]","[1618444800000, 0.0]","[1618444800000, 16764007.973773766]"
2021-04-16,"[1618531200000, 0.2090201628763323]","[1618531200000, 0.0]","[1618531200000, 15563097.824587116]"
2021-04-17,"[1618617600000, 0.1955087269858731]","[1618617600000, 0.0]","[1618617600000, 16638669.750153227]"
2021-04-18,"[1618704000000, 0.18029684703279483]","[1618704000000, 0.0]","[1618704000000, 6620029.586683342]"
2021-04-19,"[1618790400000, 0.17626956401032018]","[1618790400000, 0.0]","[1618790400000, 17524741.97637818]"
2021-04-20,"[1618876800000, 0.14387167422501693]","[1618876800000, 0.0]","[1618876800000, 4453442.016161955]"
2021-04-21,"[1618963200000, 0.1585601223392567]","[1618963200000, 0.0]","[1618963200000, 23767116.84051069]"
2021-04-22,"[1619049600000, 0.14439589469783942]","[1619049600000, 0.0]","[1619049600000, 3990676.71702966]"
2021-04-23,"[1619136000000, 0.1305473536655397]","[1619136000000, 0.0]","[1619136000000, 13114036.438802639]"
2021-04-24,"[1619222400000, 0.12754205163075047]","[1619222400000, 0.0]","[1619222400000, 20649800.847761713]"
2021-04-25,"[1619308800000, 0.11925997823600032]","[1619308800000, 0.0]","[1619308800000, 11785797.558701864]"
2021-04-26,"[1619395200000, 0.13190845677483187]","[1619395200000, 0.0]","[1619395200000, 14316133.918700572]"
2021-04-27,"[1619481600000, 0.15089800385962826]","[1619481600000, 0.0]","[1619481600000, 19254766.86694365]"
2021-04-28,"[1619568000000, 0.15772063215900267]","[1619568000000, 0.0]","[1619568000000, 20459304.573618025]"
