date,prices,market_caps,total_volumes
2022-02-28,"[1646006400000, 89.30088502934669]","[1646006400000, 0.0]","[1646006400000, 290993.561484965]"
2022-03-01,"[1646092800000, 89.30088502934669]","[1646092800000, 0.0]","[1646092800000, 290993.561484965]"
2022-03-02,"[1646179200000, 91.4220242088813]","[1646179200000, 0.0]","[1646179200000, 391740.880756261]"
2022-03-03,"[1646265600000, 91.21671530102458]","[1646265600000, 0.0]","[1646265600000, 195024.7915909496]"
2022-03-04,"[1646352000000, 90.9647530942314]","[1646352000000, 0.0]","[1646352000000, 194768.86736261687]"
2022-03-05,"[1646438400000, 86.06110327688765]","[1646438400000, 0.0]","[1646438400000, 351899.87941278913]"
2022-03-06,"[1646524800000, 87.63916850282531]","[1646524800000, 0.0]","[1646524800000, 178787.58281127768]"
2022-03-07,"[1646611200000, 79.1157004276018]","[1646611200000, 0.0]","[1646611200000, 10103.199266565407]"
2022-03-08,"[1646697600000, 77.2219624873325]","[1646697600000, 0.0]","[1646697600000, 204671.91816689176]"
2022-03-09,"[1646784000000, 85.24606121461393]","[1646784000000, 0.0]","[1646784000000, 150741.70378662244]"
2022-03-10,"[1646870400000, 99.62187885893935]","[1646870400000, 0.0]","[1646870400000, 258530.17703699827]"
2022-03-11,"[1646956800000, 99.71843237238838]","[1646956800000, 0.0]","[1646956800000, 329329.8706252324]"
2022-03-12,"[1647043200000, 90.84874932176514]","[1647043200000, 0.0]","[1647043200000, 143405.91400188432]"
2022-03-13,"[1647129600000, 87.37968540019486]","[1647129600000, 0.0]","[1647129600000, 142986.08845275195]"
2022-03-14,"[1647216000000, 86.6687362540071]","[1647216000000, 0.0]","[1647216000000, 99030.30913193013]"
2022-03-15,"[1647302400000, 93.9550794729136]","[1647302400000, 0.0]","[1647302400000, 116339.50099915464]"
2022-03-16,"[1647388800000, 87.66276325059887]","[1647388800000, 0.0]","[1647388800000, 91696.651954747]"
2022-03-17,"[1647475200000, 89.71559631971932]","[1647475200000, 0.0]","[1647475200000, 109904.18155445259]"
2022-03-18,"[1647561600000, 87.04123525016928]","[1647561600000, 0.0]","[1647561600000, 104673.30449135382]"
2022-03-19,"[1647648000000, 87.52964049643153]","[1647648000000, 0.0]","[1647648000000, 115436.96773597914]"
2022-03-20,"[1647734400000, 91.92136660984397]","[1647734400000, 0.0]","[1647734400000, 106534.25509711468]"
2022-03-21,"[1647820800000, 90.63132353120606]","[1647820800000, 0.0]","[1647820800000, 39975.382292427326]"
2022-03-22,"[1647907200000, 94.71738427928345]","[1647907200000, 0.0]","[1647907200000, 100549.87336487327]"
2022-03-23,"[1647993600000, 91.49398154851188]","[1647993600000, 0.0]","[1647993600000, 125128.2194999722]"
2022-03-24,"[1648080000000, 95.99007224869081]","[1648080000000, 0.0]","[1648080000000, 72031.20254608226]"
2022-03-25,"[1648166400000, 92.78915916417841]","[1648166400000, 0.0]","[1648166400000, 139669.15377024078]"
2022-03-26,"[1648252800000, 90.62713423443425]","[1648252800000, 0.0]","[1648252800000, 136613.46341496197]"
2022-03-27,"[1648339200000, 93.98899162839614]","[1648339200000, 0.0]","[1648339200000, 290557.8151030274]"
2022-03-28,"[1648425600000, 98.31841123172603]","[1648425600000, 0.0]","[1648425600000, 434323.14526655385]"
2022-03-29,"[1648512000000, 95.83138638312649]","[1648512000000, 0.0]","[1648512000000, 651083.361481838]"
2022-03-30,"[1648598400000, 98.09643473530906]","[1648598400000, 0.0]","[1648598400000, 1546908.7213056665]"
2022-03-31,"[1648684800000, 110.70728172773384]","[1648684800000, 0.0]","[1648684800000, 1611898.5212455087]"
2022-04-01,"[1648771200000, 120.49938224061619]","[1648771200000, 0.0]","[1648771200000, 951936.1775518183]"
2022-04-02,"[1648857600000, 118.12159969572278]","[1648857600000, 0.0]","[1648857600000, 424054.5476811469]"
2022-04-03,"[1648944000000, 110.91020182413664]","[1648944000000, 0.0]","[1648944000000, 765946.4247814309]"
2022-04-04,"[1649030400000, 106.96962308710755]","[1649030400000, 0.0]","[1649030400000, 1196905.8600899004]"
2022-04-05,"[1649116800000, 115.18360986526002]","[1649116800000, 0.0]","[1649116800000, 1368991.1869718626]"
