date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 16.254631449350978]","[1617667200000, 0.0]","[1617667200000, 468543.8888360203]"
2021-04-07,"[1617753600000, 16.61997434727368]","[1617753600000, 0.0]","[1617753600000, 215059.40373830596]"
2021-04-08,"[1617840000000, 16.12921055838314]","[1617840000000, 0.0]","[1617840000000, 207173.31971658976]"
2021-04-09,"[1617926400000, 16.409998895306252]","[1617926400000, 0.0]","[1617926400000, 214635.69973897815]"
2021-04-10,"[1618012800000, 15.804521136127779]","[1618012800000, 0.0]","[1618012800000, 205700.0225619463]"
2021-04-11,"[1618099200000, 15.743991145186088]","[1618099200000, 0.0]","[1618099200000, 403429.19079754857]"
2021-04-12,"[1618185600000, 16.302775350146803]","[1618185600000, 0.0]","[1618185600000, 1105873.2401262634]"
2021-04-13,"[1618272000000, 16.193139742178218]","[1618272000000, 0.0]","[1618272000000, 814350.6534617685]"
2021-04-14,"[1618358400000, 16.592988555191905]","[1618358400000, 0.0]","[1618358400000, 590486.592786895]"
2021-04-15,"[1618444800000, 16.23221096606406]","[1618444800000, 0.0]","[1618444800000, 3040453.501970989]"
2021-04-16,"[1618531200000, 15.434877650659837]","[1618531200000, 0.0]","[1618531200000, 1121168.718707697]"
2021-04-17,"[1618617600000, 15.783012007697154]","[1618617600000, 0.0]","[1618617600000, 530114.1894619098]"
2021-04-18,"[1618704000000, 15.562796761121552]","[1618704000000, 0.0]","[1618704000000, 307294.45589060703]"
2021-04-19,"[1618790400000, 15.640118315221702]","[1618790400000, 0.0]","[1618790400000, 375118.03351074207]"
2021-04-20,"[1618876800000, 14.998330199466356]","[1618876800000, 0.0]","[1618876800000, 302886.331667991]"
2021-04-21,"[1618963200000, 15.50329998801274]","[1618963200000, 0.0]","[1618963200000, 193429.7214227026]"
2021-04-22,"[1619049600000, 14.748898319269014]","[1619049600000, 0.0]","[1619049600000, 208195.6032355441]"
2021-04-23,"[1619136000000, 14.67383924487325]","[1619136000000, 0.0]","[1619136000000, 255419.14715938433]"
2021-04-24,"[1619222400000, 13.900358221942078]","[1619222400000, 0.0]","[1619222400000, 501888.0427167757]"
2021-04-25,"[1619308800000, 13.926409589227543]","[1619308800000, 0.0]","[1619308800000, 141112.3208048289]"
2021-04-26,"[1619395200000, 14.127330651777786]","[1619395200000, 0.0]","[1619395200000, 208252.15898227843]"
2021-04-27,"[1619481600000, 14.36258414792272]","[1619481600000, 0.0]","[1619481600000, 253353.2483188276]"
2021-04-28,"[1619568000000, 14.243337099034834]","[1619568000000, 0.0]","[1619568000000, 196120.40893013088]"
2021-04-29,"[1619654400000, 13.225803152509023]","[1619654400000, 0.0]","[1619654400000, 463459.2864563732]"
2021-04-30,"[1619740800000, 13.237298513273453]","[1619740800000, 0.0]","[1619740800000, 363111.8622531202]"
2021-05-01,"[1619827200000, 13.293663508068812]","[1619827200000, 0.0]","[1619827200000, 141699.4304322153]"
2021-05-02,"[1619913600000, 13.376142028176933]","[1619913600000, 0.0]","[1619913600000, 74836.81908362934]"
2021-05-03,"[1620000000000, 13.368327119837883]","[1620000000000, 0.0]","[1620000000000, 89231.0076766129]"
2021-05-04,"[1620086400000, 13.319168451908514]","[1620086400000, 0.0]","[1620086400000, 182408.14818848952]"
2021-05-05,"[1620172800000, 11.76890986229199]","[1620172800000, 0.0]","[1620172800000, 500476.0433699537]"
2021-05-06,"[1620259200000, 12.466737279898277]","[1620259200000, 0.0]","[1620259200000, 117054.30637795273]"
2021-05-07,"[1620345600000, 13.184578327147964]","[1620345600000, 0.0]","[1620345600000, 121076.33653324246]"
2021-05-08,"[1620432000000, 12.78908143605027]","[1620432000000, 0.0]","[1620432000000, 195214.65943086]"
2021-05-09,"[1620518400000, 12.95695970331318]","[1620518400000, 0.0]","[1620518400000, 33380.33913759959]"
2021-05-10,"[1620604800000, 12.79375823122172]","[1620604800000, 0.0]","[1620604800000, 33393.58032997751]"
2021-05-11,"[1620691200000, 12.107116879139365]","[1620691200000, 0.0]","[1620691200000, 50470.49468125014]"
2021-05-12,"[1620777600000, 12.311931602810327]","[1620777600000, 0.0]","[1620777600000, 193608.00896850796]"
2021-05-13,"[1620864000000, 11.31741893693349]","[1620864000000, 0.0]","[1620864000000, 357709.8023833169]"
2021-05-14,"[1620950400000, 10.0482532054963]","[1620950400000, 0.0]","[1620950400000, 320405.2338995259]"
2021-05-15,"[1621036800000, 10.545022865551006]","[1621036800000, 0.0]","[1621036800000, 136289.8113465615]"
2021-05-16,"[1621123200000, 11.061469217234913]","[1621123200000, 0.0]","[1621123200000, 301548.53957797674]"
2021-05-17,"[1621209600000, 10.84674441573463]","[1621209600000, 0.0]","[1621209600000, 126496.25423272313]"
2021-05-18,"[1621296000000, 10.534908042427299]","[1621296000000, 0.0]","[1621296000000, 140261.34269480652]"
2021-05-19,"[1621382400000, 10.496928701193639]","[1621382400000, 0.0]","[1621382400000, 54595.340442385044]"
2021-05-20,"[1621468800000, 9.789439877825181]","[1621468800000, 0.0]","[1621468800000, 267840.81296427577]"
2021-05-21,"[1621555200000, 10.058730077277662]","[1621555200000, 0.0]","[1621555200000, 155275.7890564602]"
2021-05-22,"[1621641600000, 9.66928635127877]","[1621641600000, 0.0]","[1621641600000, 150776.7167409767]"
2021-05-23,"[1621728000000, 9.63824796757688]","[1621728000000, 0.0]","[1621728000000, 91060.03289522955]"
2021-05-24,"[1621814400000, 8.851522196310937]","[1621814400000, 0.0]","[1621814400000, 182096.77376813418]"
2021-05-25,"[1621900800000, 9.362019048591023]","[1621900800000, 0.0]","[1621900800000, 82230.86400917519]"
2021-05-26,"[1621987200000, 9.136432049021238]","[1621987200000, 0.0]","[1621987200000, 66096.20142519369]"
2021-05-27,"[1622073600000, 9.632016936189885]","[1622073600000, 0.0]","[1622073600000, 178449.8527372111]"
2021-05-28,"[1622160000000, 9.345264158318761]","[1622160000000, 0.0]","[1622160000000, 237693.7118242239]"
2021-05-29,"[1622246400000, 10.425054609083855]","[1622246400000, 0.0]","[1622246400000, 550779.5195480625]"
2021-05-30,"[1622332800000, 10.946749194743353]","[1622332800000, 0.0]","[1622332800000, 296174.0506078087]"
2021-05-31,"[1622419200000, 10.261739773785319]","[1622419200000, 0.0]","[1622419200000, 209019.55724541686]"
2021-06-01,"[1622505600000, 10.526365246388687]","[1622505600000, 0.0]","[1622505600000, 61897.669990632916]"
2021-06-02,"[1622592000000, 10.322989514899074]","[1622592000000, 0.0]","[1622592000000, 255634.02384486963]"
2021-06-03,"[1622678400000, 10.608625254687158]","[1622678400000, 0.0]","[1622678400000, 121904.86915733713]"
2021-06-04,"[1622764800000, 10.15488280961913]","[1622764800000, 0.0]","[1622764800000, 196389.4364093691]"
2021-06-05,"[1622851200000, 9.94307272125157]","[1622851200000, 0.0]","[1622851200000, 183535.74544105295]"
2021-06-06,"[1622937600000, 9.514831336649038]","[1622937600000, 0.0]","[1622937600000, 33920.108157314986]"
2021-06-07,"[1623024000000, 9.236067070918141]","[1623024000000, 0.0]","[1623024000000, 89738.08592839759]"
2021-06-08,"[1623110400000, 8.897805524541107]","[1623110400000, 0.0]","[1623110400000, 67800.75104892987]"
2021-06-09,"[1623196800000, 8.773672125122907]","[1623196800000, 0.0]","[1623196800000, 89417.6993050315]"
2021-06-10,"[1623283200000, 8.286591493379689]","[1623283200000, 0.0]","[1623283200000, 387139.0990157147]"
2021-06-11,"[1623369600000, 8.238953858595979]","[1623369600000, 0.0]","[1623369600000, 72747.95414407404]"
2021-06-12,"[1623456000000, 7.898287751970967]","[1623456000000, 0.0]","[1623456000000, 107770.02299667412]"
2021-06-13,"[1623542400000, 7.132956833879297]","[1623542400000, 0.0]","[1623542400000, 105535.70869489959]"
2021-06-14,"[1623628800000, 7.467191809412451]","[1623628800000, 0.0]","[1623628800000, 125583.02710072225]"
2021-06-15,"[1623715200000, 7.6558468511768005]","[1623715200000, 0.0]","[1623715200000, 149509.27432833824]"
2021-06-16,"[1623801600000, 7.641131601194311]","[1623801600000, 0.0]","[1623801600000, 86488.58203268482]"
2021-06-17,"[1623888000000, 7.583723633728824]","[1623888000000, 0.0]","[1623888000000, 34136.265072843715]"
2021-06-18,"[1623974400000, 7.812392318889127]","[1623974400000, 0.0]","[1623974400000, 129638.06008076003]"
2021-06-19,"[1624060800000, 7.454955159973279]","[1624060800000, 0.0]","[1624060800000, 71680.08840534648]"
2021-06-20,"[1624147200000, 7.471862920657078]","[1624147200000, 0.0]","[1624147200000, 39322.29221888742]"
2021-06-21,"[1624233600000, 7.310005277628893]","[1624233600000, 0.0]","[1624233600000, 63983.96830102968]"
2021-06-22,"[1624320000000, 6.408516338662993]","[1624320000000, 0.0]","[1624320000000, 61862.20189332715]"
2021-06-23,"[1624406400000, 5.927678918795866]","[1624406400000, 0.0]","[1624406400000, 195155.81359023464]"
2021-06-24,"[1624492800000, 6.254356203482653]","[1624492800000, 0.0]","[1624492800000, 91383.98430569819]"
2021-06-25,"[1624579200000, 6.66018149756866]","[1624579200000, 0.0]","[1624579200000, 180309.14108939806]"
2021-06-26,"[1624665600000, 6.638731214853658]","[1624665600000, 0.0]","[1624665600000, 111937.94091702862]"
2021-06-27,"[1624752000000, 6.404426221541244]","[1624752000000, 0.0]","[1624752000000, 37761.868496165385]"
2021-06-28,"[1624838400000, 6.408534657895082]","[1624838400000, 0.0]","[1624838400000, 43697.422578676335]"
2021-06-29,"[1624924800000, 6.555920793730029]","[1624924800000, 0.0]","[1624924800000, 92052.85129198004]"
2021-06-30,"[1625011200000, 6.444312504819657]","[1625011200000, 0.0]","[1625011200000, 50440.91744472652]"
2021-07-01,"[1625097600000, 6.396181749045918]","[1625097600000, 0.0]","[1625097600000, 23507.077600256944]"
2021-07-02,"[1625184000000, 6.037301336108114]","[1625184000000, 0.0]","[1625184000000, 23653.80527071552]"
2021-07-03,"[1625270400000, 6.191750619158378]","[1625270400000, 0.0]","[1625270400000, 16868.969401350012]"
2021-07-04,"[1625356800000, 6.105726114681954]","[1625356800000, 0.0]","[1625356800000, 82505.5256156152]"
2021-07-05,"[1625443200000, 5.934839862901594]","[1625443200000, 0.0]","[1625443200000, 119013.85941848221]"
2021-07-06,"[1625529600000, 5.931508452849143]","[1625529600000, 0.0]","[1625529600000, 13704.890443297436]"
2021-07-07,"[1625616000000, 5.852830442960777]","[1625616000000, 0.0]","[1625616000000, 43272.907935716896]"
2021-07-08,"[1625702400000, 6.018934566033082]","[1625702400000, 0.0]","[1625702400000, 90397.63908760449]"
2021-07-09,"[1625788800000, 6.006393551430481]","[1625788800000, 0.0]","[1625788800000, 64830.39898028588]"
2021-07-10,"[1625875200000, 6.019333637942546]","[1625875200000, 0.0]","[1625875200000, 103434.0829034225]"
2021-07-11,"[1625961600000, 5.930904784649197]","[1625961600000, 0.0]","[1625961600000, 103331.9665537207]"
2021-07-12,"[1626048000000, 5.936119684868788]","[1626048000000, 0.0]","[1626048000000, 21292.40980835423]"
2021-07-13,"[1626134400000, 5.816597734443032]","[1626134400000, 0.0]","[1626134400000, 73564.09057083167]"
2021-07-14,"[1626220800000, 5.697724596088528]","[1626220800000, 0.0]","[1626220800000, 17125.41504946128]"
2021-07-15,"[1626307200000, 5.704272772467725]","[1626307200000, 0.0]","[1626307200000, 7383.404795345277]"
2021-07-16,"[1626393600000, 5.776344538836684]","[1626393600000, 0.0]","[1626393600000, 129957.59266466387]"
2021-07-17,"[1626480000000, 5.387602263730462]","[1626480000000, 0.0]","[1626480000000, 51708.69459896634]"
2021-07-18,"[1626566400000, 5.889171146473638]","[1626566400000, 0.0]","[1626566400000, 35360.69827482719]"
2021-07-19,"[1626652800000, 5.970778750162215]","[1626652800000, 0.0]","[1626652800000, 29724.49575466844]"
2021-07-20,"[1626739200000, 5.872077312529965]","[1626739200000, 0.0]","[1626739200000, 216853.33316929793]"
2021-07-21,"[1626825600000, 6.022211700455741]","[1626825600000, 0.0]","[1626825600000, 106060.38515079851]"
2021-07-22,"[1626912000000, 5.871887531388142]","[1626912000000, 0.0]","[1626912000000, 62547.85018998529]"
2021-07-23,"[1626998400000, 5.899218723960094]","[1626998400000, 0.0]","[1626998400000, 33729.643644154625]"
2021-07-24,"[1627084800000, 5.922908165633317]","[1627084800000, 0.0]","[1627084800000, 25543.73151027518]"
2021-07-25,"[1627171200000, 5.812111247208818]","[1627171200000, 0.0]","[1627171200000, 11808.737431708107]"
2021-07-26,"[1627257600000, 5.76828564836178]","[1627257600000, 0.0]","[1627257600000, 12535.27540775978]"
2021-07-27,"[1627344000000, 6.1170835391500775]","[1627344000000, 0.0]","[1627344000000, 116345.14979988727]"
2021-07-28,"[1627430400000, 6.1319455438775625]","[1627430400000, 0.0]","[1627430400000, 43808.48835385741]"
2021-07-29,"[1627516800000, 6.210815479158852]","[1627516800000, 0.0]","[1627516800000, 105590.13432740395]"
2021-07-30,"[1627603200000, 6.797432933728567]","[1627603200000, 0.0]","[1627603200000, 123453.45887410457]"
2021-07-31,"[1627689600000, 6.608761557532217]","[1627689600000, 0.0]","[1627689600000, 69060.75448826826]"
2021-08-01,"[1627776000000, 6.6039585567613965]","[1627776000000, 0.0]","[1627776000000, 35297.815435679295]"
2021-08-02,"[1627862400000, 6.358919981016831]","[1627862400000, 0.0]","[1627862400000, 24983.180395267125]"
2021-08-03,"[1627948800000, 6.501385788916625]","[1627948800000, 0.0]","[1627948800000, 14923.872255204638]"
2021-08-04,"[1628035200000, 6.5467110748544695]","[1628035200000, 0.0]","[1628035200000, 70057.38247225783]"
2021-08-05,"[1628121600000, 6.520848187888983]","[1628121600000, 0.0]","[1628121600000, 44304.73003852323]"
2021-08-06,"[1628208000000, 6.460071855021351]","[1628208000000, 0.0]","[1628208000000, 42275.746724758355]"
2021-08-07,"[1628294400000, 6.33936597635608]","[1628294400000, 0.0]","[1628294400000, 19013.541872376783]"
2021-08-08,"[1628380800000, 6.423719084156026]","[1628380800000, 0.0]","[1628380800000, 18588.22550188975]"
2021-08-09,"[1628467200000, 6.45778855874306]","[1628467200000, 0.0]","[1628467200000, 16526.469663363594]"
2021-08-10,"[1628553600000, 6.6664794489208195]","[1628553600000, 0.0]","[1628553600000, 28275.267988738324]"
2021-08-11,"[1628640000000, 6.752570693717262]","[1628640000000, 0.0]","[1628640000000, 129912.79821001146]"
2021-08-12,"[1628726400000, 7.554049836466815]","[1628726400000, 0.0]","[1628726400000, 389702.3598016231]"
2021-08-13,"[1628812800000, 7.594348001520968]","[1628812800000, 0.0]","[1628812800000, 156812.4404225366]"
2021-08-14,"[1628899200000, 7.616224752617983]","[1628899200000, 0.0]","[1628899200000, 44059.700720462526]"
2021-08-15,"[1628985600000, 7.410791335631399]","[1628985600000, 0.0]","[1628985600000, 32174.64372316209]"
2021-08-16,"[1629072000000, 7.5226233240798575]","[1629072000000, 0.0]","[1629072000000, 18447.235145391296]"
2021-08-17,"[1629158400000, 7.223999352016989]","[1629158400000, 0.0]","[1629158400000, 83475.01637059577]"
2021-08-18,"[1629244800000, 7.121464978212276]","[1629244800000, 0.0]","[1629244800000, 21336.28606860538]"
2021-08-19,"[1629331200000, 6.976639425397091]","[1629331200000, 0.0]","[1629331200000, 23131.57445824948]"
2021-08-20,"[1629417600000, 7.003140953484724]","[1629417600000, 0.0]","[1629417600000, 18480.103875145884]"
2021-08-21,"[1629504000000, 7.116151009712799]","[1629504000000, 0.0]","[1629504000000, 29306.960075729156]"
2021-08-22,"[1629590400000, 6.988905144278998]","[1629590400000, 0.0]","[1629590400000, 12513.995948708924]"
2021-08-23,"[1629676800000, 7.064401077966729]","[1629676800000, 0.0]","[1629676800000, 7295.2188978860195]"
2021-08-24,"[1629763200000, 7.040420584250976]","[1629763200000, 0.0]","[1629763200000, 27874.975789275068]"
2021-08-25,"[1629849600000, 7.06605990325427]","[1629849600000, 0.0]","[1629849600000, 17870.960769458758]"
2021-08-26,"[1629936000000, 7.034329912751034]","[1629936000000, 0.0]","[1629936000000, 33572.14722164034]"
2021-08-27,"[1630022400000, 7.286376757646574]","[1630022400000, 0.0]","[1630022400000, 86333.67477470056]"
2021-08-28,"[1630108800000, 7.572653420221621]","[1630108800000, 0.0]","[1630108800000, 32862.11777123321]"
2021-08-29,"[1630195200000, 7.119147666393573]","[1630195200000, 0.0]","[1630195200000, 50324.200672087936]"
2021-08-30,"[1630281600000, 7.184359695264331]","[1630281600000, 0.0]","[1630281600000, 13820.021866766387]"
2021-08-31,"[1630368000000, 7.243658984427584]","[1630368000000, 0.0]","[1630368000000, 92209.93408922262]"
2021-09-01,"[1630454400000, 7.404668795453552]","[1630454400000, 0.0]","[1630454400000, 46909.23448812688]"
2021-09-02,"[1630540800000, 7.385660067258154]","[1630540800000, 0.0]","[1630540800000, 65252.784717732706]"
2021-09-03,"[1630627200000, 7.466285956822866]","[1630627200000, 0.0]","[1630627200000, 18219.576383422125]"
2021-09-04,"[1630713600000, 7.38044476899409]","[1630713600000, 0.0]","[1630713600000, 76302.99388339114]"
2021-09-05,"[1630800000000, 7.186878624821198]","[1630800000000, 0.0]","[1630800000000, 20792.038174841276]"
2021-09-06,"[1630886400000, 7.395064819987288]","[1630886400000, 0.0]","[1630886400000, 18136.958874720363]"
2021-09-07,"[1630972800000, 7.208827623917271]","[1630972800000, 0.0]","[1630972800000, 59626.759519223095]"
2021-09-08,"[1631059200000, 7.0179946144645475]","[1631059200000, 0.0]","[1631059200000, 48204.256707549976]"
2021-09-09,"[1631145600000, 6.762645442153084]","[1631145600000, 0.0]","[1631145600000, 38826.87706894975]"
2021-09-10,"[1631232000000, 7.026834746114836]","[1631232000000, 0.0]","[1631232000000, 71844.1818073768]"
2021-09-11,"[1631318400000, 7.206616012549178]","[1631318400000, 0.0]","[1631318400000, 57868.77704933392]"
2021-09-12,"[1631404800000, 7.240398798760006]","[1631404800000, 0.0]","[1631404800000, 22805.13074375165]"
2021-09-13,"[1631491200000, 7.29360712120694]","[1631491200000, 0.0]","[1631491200000, 10065.494975597392]"
2021-09-14,"[1631577600000, 7.381243954095622]","[1631577600000, 0.0]","[1631577600000, 47786.190295723805]"
2021-09-15,"[1631664000000, 7.287820535388672]","[1631664000000, 0.0]","[1631664000000, 32614.605326324283]"
2021-09-16,"[1631750400000, 9.25279413728476]","[1631750400000, 0.0]","[1631750400000, 784638.9657488689]"
2021-09-17,"[1631836800000, 14.176913805303554]","[1631836800000, 0.0]","[1631836800000, 4227829.522904424]"
2021-09-18,"[1631923200000, 13.552899459870801]","[1631923200000, 0.0]","[1631923200000, 4679111.052539886]"
2021-09-19,"[1632009600000, 14.085028143022154]","[1632009600000, 0.0]","[1632009600000, 1917918.3296295928]"
2021-09-20,"[1632096000000, 14.01081484681628]","[1632096000000, 0.0]","[1632096000000, 1013113.2223905621]"
2021-09-21,"[1632182400000, 13.56354475572945]","[1632182400000, 0.0]","[1632182400000, 909520.4453642904]"
2021-09-22,"[1632268800000, 13.00399189046627]","[1632268800000, 0.0]","[1632268800000, 638364.5927100703]"
2021-09-23,"[1632355200000, 13.113553144420495]","[1632355200000, 0.0]","[1632355200000, 216243.23198926964]"
2021-09-24,"[1632441600000, 13.96926385126357]","[1632441600000, 0.0]","[1632441600000, 174011.76381432966]"
2021-09-25,"[1632528000000, 13.314325312818783]","[1632528000000, 0.0]","[1632528000000, 436726.372923151]"
2021-09-26,"[1632614400000, 13.268126658145796]","[1632614400000, 0.0]","[1632614400000, 55906.77652388986]"
2021-09-27,"[1632700800000, 13.267813260405363]","[1632700800000, 0.0]","[1632700800000, 71558.11059132773]"
2021-09-28,"[1632787200000, 12.858243077897392]","[1632787200000, 0.0]","[1632787200000, 257857.04246684155]"
2021-09-29,"[1632873600000, 12.924599745111324]","[1632873600000, 0.0]","[1632873600000, 300195.2526325442]"
2021-09-30,"[1632960000000, 13.118835795864353]","[1632960000000, 0.0]","[1632960000000, 324058.75682636705]"
2021-10-01,"[1633046400000, 13.282427616055646]","[1633046400000, 0.0]","[1633046400000, 1937463.497279017]"
2021-10-02,"[1633132800000, 12.789093884530104]","[1633132800000, 0.0]","[1633132800000, 3537796.761867558]"
2021-10-03,"[1633219200000, 12.792396684083544]","[1633219200000, 0.0]","[1633219200000, 343518.6055993809]"
2021-10-04,"[1633305600000, 12.71209738003132]","[1633305600000, 0.0]","[1633305600000, 503118.4846327725]"
2021-10-05,"[1633392000000, 12.780522418432856]","[1633392000000, 0.0]","[1633392000000, 189132.91507698558]"
2021-10-06,"[1633478400000, 12.795392298435386]","[1633478400000, 0.0]","[1633478400000, 932171.1959674866]"
2021-10-07,"[1633564800000, 12.269620345995524]","[1633564800000, 0.0]","[1633564800000, 228327.7928802823]"
2021-10-08,"[1633651200000, 13.155077495625138]","[1633651200000, 0.0]","[1633651200000, 453620.54073266935]"
2021-10-09,"[1633737600000, 11.911148130921683]","[1633737600000, 0.0]","[1633737600000, 722766.2913137779]"
