date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 9.465001737801437]","[1617667200000, 17476586.502239555]","[1617667200000, 755957.7565606682]"
2021-04-07,"[1617753600000, 9.42481862973989]","[1617753600000, 17437032.101571474]","[1617753600000, 588951.0118967752]"
2021-04-08,"[1617840000000, 9.003859152713915]","[1617840000000, 16678412.498487495]","[1617840000000, 702293.5302846265]"
2021-04-09,"[1617926400000, 10.57262898495206]","[1617926400000, 19264619.703671407]","[1617926400000, 1317351.5474386301]"
2021-04-10,"[1618012800000, 10.635931659449676]","[1618012800000, 19868845.26827314]","[1618012800000, 1369312.5216519213]"
2021-04-11,"[1618099200000, 9.819270393534186]","[1618099200000, 18174926.324601114]","[1618099200000, 1053671.4615044624]"
2021-04-12,"[1618185600000, 9.578741941219482]","[1618185600000, 17755260.41397143]","[1618185600000, 804064.4295912749]"
2021-04-13,"[1618272000000, 9.428177523647866]","[1618272000000, 17451333.288960025]","[1618272000000, 968269.7815477977]"
2021-04-14,"[1618358400000, 10.13446977590343]","[1618358400000, 18857843.254526753]","[1618358400000, 1191459.42299738]"
2021-04-15,"[1618444800000, 10.79426940260845]","[1618444800000, 19588643.82221789]","[1618444800000, 1082251.181052632]"
2021-04-16,"[1618531200000, 10.291671214766167]","[1618531200000, 19354537.767737158]","[1618531200000, 1050605.1482836024]"
2021-04-17,"[1618617600000, 9.306087166630187]","[1618617600000, 17236239.657164574]","[1618617600000, 802711.7167545558]"
2021-04-18,"[1618704000000, 9.528412924104204]","[1618704000000, 17653231.249662597]","[1618704000000, 693177.3050578083]"
2021-04-19,"[1618790400000, 8.009426469838363]","[1618790400000, 14855178.471831864]","[1618790400000, 971493.784580909]"
2021-04-20,"[1618876800000, 8.3370297380506]","[1618876800000, 15443453.51644213]","[1618876800000, 797407.1152289843]"
2021-04-21,"[1618963200000, 8.473280212527095]","[1618963200000, 15759664.449959602]","[1618963200000, 702602.6979786837]"
2021-04-22,"[1619049600000, 8.872692688921692]","[1619049600000, 16669749.375278361]","[1619049600000, 1199093.4765431772]"
2021-04-23,"[1619136000000, 8.721208416713884]","[1619136000000, 16116566.284035673]","[1619136000000, 792589.9744712533]"
2021-04-24,"[1619222400000, 7.979751673464019]","[1619222400000, 14741508.72667234]","[1619222400000, 759809.7376491459]"
2021-04-25,"[1619308800000, 7.783753792206459]","[1619308800000, 14549639.135787189]","[1619308800000, 995610.7137812993]"
2021-04-26,"[1619395200000, 7.458897834434741]","[1619395200000, 13813875.059924223]","[1619395200000, 591523.216377148]"
2021-04-27,"[1619481600000, 8.060532354078678]","[1619481600000, 14925104.284674697]","[1619481600000, 498376.96117193456]"
2021-04-28,"[1619568000000, 8.09076777660459]","[1619568000000, 15458954.10216957]","[1619568000000, 714558.442940611]"
2021-04-29,"[1619654400000, 8.755411530715909]","[1619654400000, 16213516.208431482]","[1619654400000, 774599.6283715821]"
2021-04-30,"[1619740800000, 8.576073789241445]","[1619740800000, 15906970.627054099]","[1619740800000, 425890.741409223]"
2021-05-01,"[1619827200000, 8.821084335611133]","[1619827200000, 16308264.912565712]","[1619827200000, 757484.3352530475]"
2021-05-02,"[1619913600000, 9.630414861896012]","[1619913600000, 17952594.771949332]","[1619913600000, 556218.7314105156]"
2021-05-03,"[1620000000000, 10.0400995176497]","[1620000000000, 18669185.56231452]","[1620000000000, 344429.19809806644]"
2021-05-04,"[1620086400000, 10.800793170418476]","[1620086400000, 20026847.09544493]","[1620086400000, 999635.4114344888]"
2021-05-05,"[1620172800000, 10.848667716930548]","[1620172800000, 20238784.182186965]","[1620172800000, 969717.3985727362]"
2021-05-06,"[1620259200000, 9.926193927002043]","[1620259200000, 18475677.56905059]","[1620259200000, 715606.5372618046]"
2021-05-07,"[1620345600000, 11.280224610400074]","[1620345600000, 20832681.035503536]","[1620345600000, 1675250.4238778427]"
2021-05-08,"[1620432000000, 10.459946242569876]","[1620432000000, 19418724.908955187]","[1620432000000, 689995.7077910413]"
2021-05-09,"[1620518400000, 10.942219551536875]","[1620518400000, 20246619.169292517]","[1620518400000, 597582.0482574705]"
2021-05-10,"[1620604800000, 16.411081874879848]","[1620604800000, 30393315.426736545]","[1620604800000, 4891324.890277031]"
2021-05-11,"[1620691200000, 19.966434944182904]","[1620691200000, 37861045.69696275]","[1620691200000, 4543053.819852282]"
2021-05-12,"[1620777600000, 19.225489268451216]","[1620777600000, 35544854.41104699]","[1620777600000, 3243709.829005566]"
2021-05-13,"[1620864000000, 14.07643814145469]","[1620864000000, 26829056.227155708]","[1620864000000, 1184316.4714806415]"
2021-05-14,"[1620950400000, 15.05763417932849]","[1620950400000, 28046281.725279894]","[1620950400000, 979251.8093761872]"
2021-05-15,"[1621036800000, 15.969213248473721]","[1621036800000, 29320811.68418243]","[1621036800000, 710781.3424311917]"
2021-05-16,"[1621123200000, 13.388008026875802]","[1621123200000, 24727983.212038085]","[1621123200000, 801159.950473927]"
2021-05-17,"[1621209600000, 13.008596159617701]","[1621209600000, 24091913.5833139]","[1621209600000, 1110250.974247366]"
2021-05-18,"[1621296000000, 11.57828516933865]","[1621296000000, 21276019.952944156]","[1621296000000, 616355.9693822438]"
2021-05-19,"[1621382400000, 12.0022391523293]","[1621382400000, 22007381.190998312]","[1621382400000, 720173.5579333853]"
2021-05-20,"[1621468800000, 9.778200451180659]","[1621468800000, 18168295.098854683]","[1621468800000, 847323.3225667864]"
2021-05-21,"[1621555200000, 9.618394939330383]","[1621555200000, 17761122.249902785]","[1621555200000, 390865.0324961764]"
2021-05-22,"[1621641600000, 8.342212704934665]","[1621641600000, 15713072.159736596]","[1621641600000, 415488.0171888011]"
2021-05-23,"[1621728000000, 7.717115218666606]","[1621728000000, 14228004.505143614]","[1621728000000, 509372.24425144284]"
2021-05-24,"[1621814400000, 5.9724694479932765]","[1621814400000, 11142657.239398124]","[1621814400000, 556092.9726577661]"
