date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.8045996674517636]","[1617667200000, 46554051.003367245]","[1617667200000, 1616026.2382595749]"
2021-04-07,"[1617753600000, 0.7840671099326232]","[1617753600000, 45447386.71878967]","[1617753600000, 1448354.8624916992]"
2021-04-08,"[1617840000000, 0.7362482572236003]","[1617840000000, 43297106.303578705]","[1617840000000, 643953.3029385722]"
2021-04-09,"[1617926400000, 0.9248599464763733]","[1617926400000, 54631556.66546039]","[1617926400000, 1465702.5851138316]"
2021-04-10,"[1618012800000, 1.0467297199333925]","[1618012800000, 61717696.88333124]","[1618012800000, 2808012.368082457]"
2021-04-11,"[1618099200000, 0.9667140359369012]","[1618099200000, 55963571.677178666]","[1618099200000, 1417656.824160513]"
2021-04-12,"[1618185600000, 0.8722144007764618]","[1618185600000, 50608992.97582423]","[1618185600000, 1536516.8694751437]"
2021-04-13,"[1618272000000, 0.9801374372976144]","[1618272000000, 56084106.87267417]","[1618272000000, 7392361.110988369]"
2021-04-14,"[1618358400000, 0.948518810835618]","[1618358400000, 54927858.928173676]","[1618358400000, 1934897.3178821013]"
2021-04-15,"[1618444800000, 0.8542124851602637]","[1618444800000, 49713173.632594466]","[1618444800000, 1410373.3693365904]"
2021-04-16,"[1618531200000, 0.8594870424312454]","[1618531200000, 49989551.46986115]","[1618531200000, 1070415.6261630938]"
2021-04-17,"[1618617600000, 0.8057875810784706]","[1618617600000, 46484749.85424851]","[1618617600000, 1059822.4257513033]"
2021-04-18,"[1618704000000, 0.7957708332125402]","[1618704000000, 46201438.46714575]","[1618704000000, 906352.8634934779]"
2021-04-19,"[1618790400000, 0.739620536343298]","[1618790400000, 42960712.3077992]","[1618790400000, 3599841.738929364]"
2021-04-20,"[1618876800000, 0.7771418287203968]","[1618876800000, 45035763.57968694]","[1618876800000, 2544708.382379246]"
2021-04-21,"[1618963200000, 0.7700235834714416]","[1618963200000, 44938836.64031965]","[1618963200000, 1383461.68239327]"
2021-04-22,"[1619049600000, 0.8117146863337739]","[1619049600000, 46885073.260237396]","[1619049600000, 1068514.1620177627]"
2021-04-23,"[1619136000000, 0.7372919318659736]","[1619136000000, 42073810.783490025]","[1619136000000, 998303.766305655]"
2021-04-24,"[1619222400000, 0.6446483274783591]","[1619222400000, 37219015.875770785]","[1619222400000, 994999.3065592839]"
2021-04-25,"[1619308800000, 0.6119636930095598]","[1619308800000, 35563091.72413628]","[1619308800000, 608926.7814885952]"
2021-04-26,"[1619395200000, 0.6559631808953029]","[1619395200000, 37978032.2518713]","[1619395200000, 1322469.251834896]"
2021-04-27,"[1619481600000, 0.7473729991638915]","[1619481600000, 43048388.12928232]","[1619481600000, 965478.1800582478]"
2021-04-28,"[1619568000000, 0.816465058430241]","[1619568000000, 47274195.254018195]","[1619568000000, 824622.5015223543]"
2021-04-29,"[1619654400000, 0.7615367037821905]","[1619654400000, 43886636.45027826]","[1619654400000, 526987.1515358005]"
2021-04-30,"[1619740800000, 1.0738505431676035]","[1619740800000, 62172286.11283601]","[1619740800000, 45204730.12257367]"
2021-05-01,"[1619827200000, 1.8242262163735987]","[1619827200000, 107937627.20594087]","[1619827200000, 154859852.76476625]"
2021-05-02,"[1619913600000, 1.4074012012433976]","[1619913600000, 81709574.6070695]","[1619913600000, 11443685.082939949]"
2021-05-03,"[1620000000000, 1.6596053946487344]","[1620000000000, 97921483.96614076]","[1620000000000, 31057008.004058223]"
2021-05-04,"[1620086400000, 1.9596827672720745]","[1620086400000, 113376076.4602226]","[1620086400000, 39235968.0589064]"
2021-05-05,"[1620172800000, 1.6380893839466204]","[1620172800000, 93167222.24607524]","[1620172800000, 6381036.507433217]"
2021-05-06,"[1620259200000, 1.4332039891380015]","[1620259200000, 82320164.03049675]","[1620259200000, 3748560.7668065825]"
2021-05-07,"[1620345600000, 1.1968713000370108]","[1620345600000, 69114329.55027713]","[1620345600000, 3251692.3175098323]"
2021-05-08,"[1620432000000, 1.2972908805981587]","[1620432000000, 76474606.05770242]","[1620432000000, 3389544.614322383]"
2021-05-09,"[1620518400000, 1.3494013304318058]","[1620518400000, 75351388.1937828]","[1620518400000, 4986339.234325288]"
2021-05-10,"[1620604800000, 1.804366144195223]","[1620604800000, 104466649.3703222]","[1620604800000, 36338801.52597348]"
2021-05-11,"[1620691200000, 1.433493593390375]","[1620691200000, 82994392.83821605]","[1620691200000, 10441558.05687262]"
2021-05-12,"[1620777600000, 1.4535728278817073]","[1620777600000, 84156912.07300586]","[1620777600000, 10674464.358830662]"
2021-05-13,"[1620864000000, 1.3124233144224648]","[1620864000000, 74052016.50045495]","[1620864000000, 6676875.56185913]"
2021-05-14,"[1620950400000, 1.3176683677106715]","[1620950400000, 76149398.80069704]","[1620950400000, 27585511.96656435]"
2021-05-15,"[1621036800000, 1.5073867538819128]","[1621036800000, 85051369.2432857]","[1621036800000, 16458341.52125532]"
2021-05-16,"[1621123200000, 1.357403345024398]","[1621123200000, 79179581.98237534]","[1621123200000, 3756554.5583751705]"
2021-05-17,"[1621209600000, 1.455801226613572]","[1621209600000, 83613786.07612954]","[1621209600000, 8659303.950279826]"
2021-05-18,"[1621296000000, 1.2732250587492258]","[1621296000000, 73715390.97525448]","[1621296000000, 2352456.5755498433]"
2021-05-19,"[1621382400000, 1.261791706032167]","[1621382400000, 71570552.59291781]","[1621382400000, 1093535.882504144]"
2021-05-20,"[1621468800000, 0.8529912942952239]","[1621468800000, 49385288.42593675]","[1621468800000, 1751040.7690893202]"
2021-05-21,"[1621555200000, 0.8388233984811181]","[1621555200000, 49903176.73531094]","[1621555200000, 724438.1708430982]"
2021-05-22,"[1621641600000, 0.7390476895411406]","[1621641600000, 44177667.17086318]","[1621641600000, 394471.76296461816]"
2021-05-23,"[1621728000000, 0.696218118884571]","[1621728000000, 39223363.91431195]","[1621728000000, 463463.71163440443]"
2021-05-24,"[1621814400000, 0.5408100300306288]","[1621814400000, 31423042.910837248]","[1621814400000, 390479.18016028806]"
2021-05-25,"[1621900800000, 0.6680187854485421]","[1621900800000, 38703496.675027594]","[1621900800000, 412348.25952865265]"
2021-05-26,"[1621987200000, 0.886941739428063]","[1621987200000, 51248998.1215923]","[1621987200000, 9205224.38262431]"
2021-05-27,"[1622073600000, 0.9710104864743841]","[1622073600000, 56329841.063240156]","[1622073600000, 3441107.3048794037]"
