date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 162.87907298491854]","[1617667200000, 26014463.062896274]","[1617667200000, 4589078.341712592]"
2021-04-07,"[1617753600000, 154.35852102753063]","[1617753600000, 24588548.13107197]","[1617753600000, 3961385.2670164243]"
2021-04-08,"[1617840000000, 149.22233074138248]","[1617840000000, 23849264.219740134]","[1617840000000, 4145727.7507182206]"
2021-04-09,"[1617926400000, 150.88016561688943]","[1617926400000, 24108781.38465837]","[1617926400000, 4354232.178082859]"
2021-04-10,"[1618012800000, 158.50723132814107]","[1618012800000, 25320535.16972132]","[1618012800000, 341138.10046947165]"
2021-04-11,"[1618099200000, 165.2144315497774]","[1618099200000, 26971770.45088923]","[1618099200000, 639650.5590663499]"
2021-04-12,"[1618185600000, 167.50789961533687]","[1618185600000, 26560536.70982693]","[1618185600000, 412341.73173988203]"
2021-04-13,"[1618272000000, 163.2285044732019]","[1618272000000, 26072427.803957496]","[1618272000000, 3796464.163317994]"
2021-04-14,"[1618358400000, 177.82067318547098]","[1618358400000, 28361358.144362196]","[1618358400000, 639099.2118509754]"
2021-04-15,"[1618444800000, 159.34420328708165]","[1618444800000, 25480273.176787797]","[1618444800000, 415037.741606811]"
2021-04-16,"[1618531200000, 168.39562924493237]","[1618531200000, 27006930.247861214]","[1618531200000, 415954.61271220807]"
2021-04-17,"[1618617600000, 160.3211491617515]","[1618617600000, 25577150.43184115]","[1618617600000, 455571.45297604636]"
2021-04-18,"[1618704000000, 162.38567888708877]","[1618704000000, 25962297.982837494]","[1618704000000, 3318787.5692778057]"
2021-04-19,"[1618790400000, 153.77580070239352]","[1618790400000, 24619229.086474795]","[1618790400000, 10894960.914280325]"
2021-04-20,"[1618876800000, 152.16600633220236]","[1618876800000, 24309003.551635478]","[1618876800000, 8923334.619438663]"
2021-04-21,"[1618963200000, 155.83787670142672]","[1618963200000, 24806337.503590498]","[1618963200000, 7338888.510954335]"
2021-04-22,"[1619049600000, 158.2472977816948]","[1619049600000, 25132365.924078267]","[1619049600000, 5899669.994890837]"
2021-04-23,"[1619136000000, 161.15979367995905]","[1619136000000, 26078358.47507904]","[1619136000000, 9567036.975918047]"
2021-04-24,"[1619222400000, 169.4551200746458]","[1619222400000, 26929886.064583406]","[1619222400000, 12051174.590184148]"
2021-04-25,"[1619308800000, 188.31334703217794]","[1619308800000, 30090902.95867811]","[1619308800000, 7968561.010047199]"
2021-04-26,"[1619395200000, 245.28831370591055]","[1619395200000, 38592999.141237564]","[1619395200000, 18554660.539119124]"
2021-04-27,"[1619481600000, 419.9990002291041]","[1619481600000, 67385190.97655325]","[1619481600000, 57994806.00655403]"
2021-04-28,"[1619568000000, 769.2280861093228]","[1619568000000, 122409665.7473125]","[1619568000000, 113053177.80366628]"
2021-04-29,"[1619654400000, 785.4431059970701]","[1619654400000, 124970293.95357068]","[1619654400000, 75419154.98594771]"
2021-04-30,"[1619740800000, 1204.840428912399]","[1619740800000, 195562000.04181522]","[1619740800000, 95811635.72895455]"
2021-05-01,"[1619827200000, 1439.3155625560933]","[1619827200000, 231141930.0788601]","[1619827200000, 138469772.38909832]"
