date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 0.8809078395411795]","[1617667200000, 101916595.59604879]","[1617667200000, 385724.4610648305]"
2021-04-07,"[1617753600000, 0.800987391655858]","[1617753600000, 92908936.39551581]","[1617753600000, 255383.64651287417]"
2021-04-08,"[1617840000000, 0.7509507723452185]","[1617840000000, 87061854.79106578]","[1617840000000, 2299614.2811887097]"
2021-04-09,"[1617926400000, 0.7440535278106825]","[1617926400000, 86276591.62169558]","[1617926400000, 1146195.4019486774]"
2021-04-10,"[1618012800000, 0.7609588504021638]","[1618012800000, 88198895.84395853]","[1618012800000, 363489.1736354036]"
2021-04-11,"[1618099200000, 0.7569279278159937]","[1618099200000, 87756114.85992128]","[1618099200000, 1736159.3906275714]"
2021-04-12,"[1618185600000, 0.746490729484925]","[1618185600000, 86470728.3824338]","[1618185600000, 228932.16445634895]"
2021-04-13,"[1618272000000, 0.7472146494113496]","[1618272000000, 86616644.23295006]","[1618272000000, 287404.42647192616]"
2021-04-14,"[1618358400000, 0.7256871005996457]","[1618358400000, 84232648.03919682]","[1618358400000, 398588.23756722594]"
2021-04-15,"[1618444800000, 0.7307635565072228]","[1618444800000, 84583959.3608567]","[1618444800000, 440644.98242413957]"
2021-04-16,"[1618531200000, 0.7464558795055002]","[1618531200000, 86500595.51921386]","[1618531200000, 364302.68808913627]"
2021-04-17,"[1618617600000, 0.7203544522510985]","[1618617600000, 83539174.40736322]","[1618617600000, 382560.56771122856]"
2021-04-18,"[1618704000000, 0.7021061780902689]","[1618704000000, 81313691.33608252]","[1618704000000, 448267.8265795638]"
2021-04-19,"[1618790400000, 0.6638329402698744]","[1618790400000, 77102114.62716253]","[1618790400000, 944913.9905537221]"
2021-04-20,"[1618876800000, 0.644035513253043]","[1618876800000, 74488094.71663299]","[1618876800000, 418432.2755844249]"
2021-04-21,"[1618963200000, 0.6506336436487372]","[1618963200000, 75361519.998721]","[1618963200000, 350868.41615901556]"
2021-04-22,"[1619049600000, 0.6495337561226568]","[1619049600000, 76397865.34380758]","[1619049600000, 466638.86055154615]"
2021-04-23,"[1619136000000, 0.6897059690722602]","[1619136000000, 79762963.10072753]","[1619136000000, 476081.0472147172]"
2021-04-24,"[1619222400000, 0.6422778684479263]","[1619222400000, 76564342.26023346]","[1619222400000, 493702.7343825425]"
2021-04-25,"[1619308800000, 0.6346844010390221]","[1619308800000, 75714444.57055192]","[1619308800000, 437611.2299730269]"
2021-04-26,"[1619395200000, 0.6457548023386377]","[1619395200000, 76812510.26500891]","[1619395200000, 425265.3699474674]"
2021-04-27,"[1619481600000, 0.6650351013844198]","[1619481600000, 79246307.86610435]","[1619481600000, 571796.3045580039]"
2021-04-28,"[1619568000000, 0.6753918089920347]","[1619568000000, 80579216.98894979]","[1619568000000, 464242.4551107754]"
2021-04-29,"[1619654400000, 0.6647535055629129]","[1619654400000, 79197466.84173445]","[1619654400000, 437816.9250702859]"
2021-04-30,"[1619740800000, 0.6452984971182855]","[1619740800000, 76942970.46865311]","[1619740800000, 614370.7864855779]"
2021-05-01,"[1619827200000, 0.6243649587130317]","[1619827200000, 74453001.53197908]","[1619827200000, 470380.3662990468]"
2021-05-02,"[1619913600000, 0.6523605294482622]","[1619913600000, 77720929.26327366]","[1619913600000, 944954.5097877287]"
2021-05-03,"[1620000000000, 0.6372739939050713]","[1620000000000, 76008119.67784627]","[1620000000000, 628272.3649551824]"
2021-05-04,"[1620086400000, 0.6590081390888167]","[1620086400000, 77968897.01628737]","[1620086400000, 732960.4414924923]"
2021-05-05,"[1620172800000, 0.5886396282165789]","[1620172800000, 70601656.29094681]","[1620172800000, 815141.510358754]"
2021-05-06,"[1620259200000, 0.6060299672280809]","[1620259200000, 72216221.66876952]","[1620259200000, 617485.1801030395]"
2021-05-07,"[1620345600000, 0.5993038792462497]","[1620345600000, 71486733.35295145]","[1620345600000, 667430.836656385]"
2021-05-08,"[1620432000000, 0.5799927650882232]","[1620432000000, 69136555.73095576]","[1620432000000, 923669.6288703813]"
2021-05-09,"[1620518400000, 0.643232038672148]","[1620518400000, 76511859.59791993]","[1620518400000, 1303876.2756437545]"
2021-05-10,"[1620604800000, 0.6426634063424482]","[1620604800000, 76695723.79636995]","[1620604800000, 700781.0026724376]"
2021-05-11,"[1620691200000, 0.638420743246312]","[1620691200000, 76061409.51204424]","[1620691200000, 937759.5216267355]"
2021-05-12,"[1620777600000, 0.5889995158717888]","[1620777600000, 70067916.17921408]","[1620777600000, 1391212.3353341722]"
2021-05-13,"[1620864000000, 0.5265137162881509]","[1620864000000, 64272119.68574904]","[1620864000000, 857433.0861950528]"
2021-05-14,"[1620950400000, 0.4545427437788596]","[1620950400000, 53744702.18990633]","[1620950400000, 1281935.2808736183]"
2021-05-15,"[1621036800000, 0.5101215447548301]","[1621036800000, 60791030.63942573]","[1621036800000, 1208258.9846762521]"
2021-05-16,"[1621123200000, 0.49165986182281357]","[1621123200000, 58720152.954904646]","[1621123200000, 1033680.2437108442]"
2021-05-17,"[1621209600000, 0.4857310181804674]","[1621209600000, 57326164.432238564]","[1621209600000, 962782.7248838366]"
2021-05-18,"[1621296000000, 0.45208310337108026]","[1621296000000, 53634764.49849424]","[1621296000000, 1126551.2171427086]"
2021-05-19,"[1621382400000, 0.46381781800335475]","[1621382400000, 54989231.87737993]","[1621382400000, 1977363.1440895004]"
2021-05-20,"[1621468800000, 0.39866450374331636]","[1621468800000, 49291903.60198671]","[1621468800000, 3775727.0091415714]"
2021-05-21,"[1621555200000, 0.47093231014804193]","[1621555200000, 56083444.36687218]","[1621555200000, 2563795.448430037]"
2021-05-22,"[1621641600000, 0.4460853164302779]","[1621641600000, 53191708.082483046]","[1621641600000, 2514645.1513787513]"
2021-05-23,"[1621728000000, 0.43828360789706156]","[1621728000000, 52995583.82175555]","[1621728000000, 596827.44663799]"
2021-05-24,"[1621814400000, 0.39742093977088705]","[1621814400000, 47113347.333706476]","[1621814400000, 769493.0518128711]"
2021-05-25,"[1621900800000, 0.39572060801340575]","[1621900800000, 46848754.394542836]","[1621900800000, 2641255.250244767]"
2021-05-26,"[1621987200000, 0.4048966246153254]","[1621987200000, 48177529.082473606]","[1621987200000, 1699280.3177661812]"
2021-05-27,"[1622073600000, 0.41330293457887735]","[1622073600000, 49150255.86264668]","[1622073600000, 1691369.1590133752]"
2021-05-28,"[1622160000000, 0.3922089177838224]","[1622160000000, 46789616.96068131]","[1622160000000, 1597204.76986203]"
2021-05-29,"[1622246400000, 0.38136489438710647]","[1622246400000, 45416152.81989798]","[1622246400000, 1757271.6917931493]"
2021-05-30,"[1622332800000, 0.36340874392892936]","[1622332800000, 43234270.35470773]","[1622332800000, 383004.37197903864]"
2021-05-31,"[1622419200000, 0.371506478282674]","[1622419200000, 44284106.35730827]","[1622419200000, 369439.78803945065]"
2021-06-01,"[1622505600000, 0.39160477012655853]","[1622505600000, 46711738.33141799]","[1622505600000, 1680252.4643964404]"
2021-06-02,"[1622592000000, 0.3732427301176119]","[1622592000000, 44415120.51046863]","[1622592000000, 690330.9816124352]"
2021-06-03,"[1622678400000, 0.38569238273701734]","[1622678400000, 46034652.45773336]","[1622678400000, 1427279.8430872462]"
2021-06-04,"[1622764800000, 0.40725628598919394]","[1622764800000, 48709729.72857292]","[1622764800000, 1200782.3719257999]"
2021-06-05,"[1622851200000, 0.3854643214577763]","[1622851200000, 45975501.937357016]","[1622851200000, 1047748.6667692559]"
2021-06-06,"[1622937600000, 0.37240003772106095]","[1622937600000, 44245386.48486885]","[1622937600000, 864031.7371933267]"
