date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 74.5423090889896]","[1617667200000, 115371166.22071566]","[1617667200000, 71697117.06905614]"
2021-04-07,"[1617753600000, 78.920813113669]","[1617753600000, 122138746.548946]","[1617753600000, 99972312.57244799]"
2021-04-08,"[1617840000000, 70.77789923528493]","[1617840000000, 110166713.92204109]","[1617840000000, 91094173.02434947]"
2021-04-09,"[1617926400000, 74.1436111021984]","[1617926400000, 115233665.06506535]","[1617926400000, 47043215.22071273]"
2021-04-10,"[1618012800000, 82.45684043376554]","[1618012800000, 127922479.03250755]","[1618012800000, 96922885.6138733]"
2021-04-11,"[1618099200000, 78.86456258547761]","[1618099200000, 122598314.88774046]","[1618099200000, 76186248.03024323]"
2021-04-12,"[1618185600000, 78.58894519754011]","[1618185600000, 122321210.61127457]","[1618185600000, 53638227.7114754]"
2021-04-13,"[1618272000000, 73.62810925367904]","[1618272000000, 114852724.48845425]","[1618272000000, 51883542.54011893]"
2021-04-14,"[1618358400000, 72.89988303321174]","[1618358400000, 113705256.73660225]","[1618358400000, 67245082.12340134]"
2021-04-15,"[1618444800000, 73.5940330166011]","[1618444800000, 115327270.29633796]","[1618444800000, 58583799.89196547]"
2021-04-16,"[1618531200000, 79.9677957537021]","[1618531200000, 125722336.00107925]","[1618531200000, 108988387.41926803]"
2021-04-17,"[1618617600000, 84.77081339158225]","[1618617600000, 133514591.17501743]","[1618617600000, 125843952.42365389]"
2021-04-18,"[1618704000000, 83.49348597417918]","[1618704000000, 131630535.82182504]","[1618704000000, 93527616.06026618]"
2021-04-19,"[1618790400000, 75.67226032665258]","[1618790400000, 119569515.06918725]","[1618790400000, 108711898.25830376]"
2021-04-20,"[1618876800000, 85.2771407941074]","[1618876800000, 134628837.1055584]","[1618876800000, 140945922.36833686]"
2021-04-21,"[1618963200000, 91.95316428811512]","[1618963200000, 145726492.61273563]","[1618963200000, 310360493.26249677]"
2021-04-22,"[1619049600000, 78.09777868943316]","[1619049600000, 125126152.89926882]","[1619049600000, 162714240.3665688]"
2021-04-23,"[1619136000000, 69.68757791244875]","[1619136000000, 112051125.15530932]","[1619136000000, 102437309.50247546]"
2021-04-24,"[1619222400000, 63.861190406577784]","[1619222400000, 102011632.73683982]","[1619222400000, 125686215.51347226]"
2021-04-25,"[1619308800000, 64.4610293248194]","[1619308800000, 105072962.31799378]","[1619308800000, 89685304.7428215]"
2021-04-26,"[1619395200000, 61.30493715220767]","[1619395200000, 98204484.77969006]","[1619395200000, 67990442.52591437]"
2021-04-27,"[1619481600000, 87.9846143744296]","[1619481600000, 141639735.8159892]","[1619481600000, 145384083.92436615]"
2021-04-28,"[1619568000000, 86.80150635061209]","[1619568000000, 139443148.6817844]","[1619568000000, 204045651.5929894]"
2021-04-29,"[1619654400000, 81.94167693166597]","[1619654400000, 131286593.87925155]","[1619654400000, 138638160.28433093]"
2021-04-30,"[1619740800000, 81.37432097520482]","[1619740800000, 131046681.70137495]","[1619740800000, 92913259.49741219]"
2021-05-01,"[1619827200000, 83.5596059840177]","[1619827200000, 134352788.98850885]","[1619827200000, 69143162.59096125]"
2021-05-02,"[1619913600000, 88.44491848998081]","[1619913600000, 143077926.44121224]","[1619913600000, 71437830.87380403]"
2021-05-03,"[1620000000000, 96.76270046415858]","[1620000000000, 156767590.39148742]","[1620000000000, 74282859.89589743]"
2021-05-04,"[1620086400000, 98.92723719548918]","[1620086400000, 160633808.48983654]","[1620086400000, 86393334.61485828]"
2021-05-05,"[1620172800000, 121.99773026212264]","[1620172800000, 203578836.8451381]","[1620172800000, 525379273.75316787]"
2021-05-06,"[1620259200000, 121.66057394316213]","[1620259200000, 198281771.6579295]","[1620259200000, 268126317.53370303]"
2021-05-07,"[1620345600000, 109.5522113411119]","[1620345600000, 177238241.7038532]","[1620345600000, 272425763.2955467]"
2021-05-08,"[1620432000000, 105.04592611197513]","[1620432000000, 173230576.7385933]","[1620432000000, 154817886.75722295]"
2021-05-09,"[1620518400000, 122.85819986565237]","[1620518400000, 197367947.75665957]","[1620518400000, 194639450.16674605]"
2021-05-10,"[1620604800000, 146.13706428809488]","[1620604800000, 238624192.25782815]","[1620604800000, 464399417.7860561]"
2021-05-11,"[1620691200000, 123.01930375447287]","[1620691200000, 201985127.5526736]","[1620691200000, 425111952.69606566]"
2021-05-12,"[1620777600000, 122.79542900077954]","[1620777600000, 202068007.02290222]","[1620777600000, 162446884.4908586]"
2021-05-13,"[1620864000000, 101.28533768630646]","[1620864000000, 173174371.82006183]","[1620864000000, 166086284.98942474]"
2021-05-14,"[1620950400000, 99.84550254395954]","[1620950400000, 164669053.87337005]","[1620950400000, 140519590.00468653]"
2021-05-15,"[1621036800000, 107.455474718964]","[1621036800000, 178083267.51839006]","[1621036800000, 94041458.87387069]"
2021-05-16,"[1621123200000, 92.81850582753577]","[1621123200000, 154834664.89961994]","[1621123200000, 89525416.86928335]"
2021-05-17,"[1621209600000, 94.2268178121211]","[1621209600000, 155675394.3015837]","[1621209600000, 116317096.14050537]"
2021-05-18,"[1621296000000, 85.74679995995047]","[1621296000000, 143012842.20254868]","[1621296000000, 151772866.2026826]"
2021-05-19,"[1621382400000, 89.07752352449994]","[1621382400000, 147459425.85817748]","[1621382400000, 108468736.67863666]"
2021-05-20,"[1621468800000, 57.151539035215436]","[1621468800000, 96493040.73995468]","[1621468800000, 183269939.04022184]"
2021-05-21,"[1621555200000, 66.88853268503775]","[1621555200000, 111875068.81482321]","[1621555200000, 131452840.61151332]"
2021-05-22,"[1621641600000, 55.38726963079279]","[1621641600000, 92856421.39437076]","[1621641600000, 117928546.40620872]"
2021-05-23,"[1621728000000, 52.02323795609333]","[1621728000000, 87343133.15535861]","[1621728000000, 100208447.94765356]"
2021-05-24,"[1621814400000, 42.42086320582604]","[1621814400000, 70767683.08456416]","[1621814400000, 112157984.8822185]"
2021-05-25,"[1621900800000, 51.75250743200647]","[1621900800000, 87041055.65725845]","[1621900800000, 100272621.4646287]"
2021-05-26,"[1621987200000, 52.94858382680432]","[1621987200000, 89380596.04170153]","[1621987200000, 112206271.76867723]"
2021-05-27,"[1622073600000, 71.47507954427537]","[1622073600000, 123106004.19870321]","[1622073600000, 181721347.82324722]"
2021-05-28,"[1622160000000, 64.77860371371669]","[1622160000000, 108948772.45612818]","[1622160000000, 153359125.7916918]"
2021-05-29,"[1622246400000, 56.0680163920259]","[1622246400000, 95234100.87981375]","[1622246400000, 48001056.45620758]"
2021-05-30,"[1622332800000, 52.835634788924416]","[1622332800000, 88898946.42286073]","[1622332800000, 90417727.94771999]"
2021-05-31,"[1622419200000, 60.24641449133621]","[1622419200000, 102102997.04299349]","[1622419200000, 87362501.00997849]"
2021-06-01,"[1622505600000, 63.09027396424643]","[1622505600000, 107388030.03974073]","[1622505600000, 103566362.60094815]"
2021-06-02,"[1622592000000, 59.51883731672234]","[1622592000000, 100954966.86267182]","[1622592000000, 67446120.56189555]"
2021-06-03,"[1622678400000, 65.00534067095963]","[1622678400000, 110548046.6729846]","[1622678400000, 85263912.76937804]"
2021-06-04,"[1622764800000, 70.43043803698552]","[1622764800000, 119799501.12457985]","[1622764800000, 97377516.40480715]"
2021-06-05,"[1622851200000, 63.329769628071844]","[1622851200000, 107876359.44405322]","[1622851200000, 85249031.83535768]"
2021-06-06,"[1622937600000, 60.71842136816486]","[1622937600000, 103035901.60174233]","[1622937600000, 72779731.94090375]"
2021-06-07,"[1623024000000, 64.03702569446975]","[1623024000000, 109334669.73107772]","[1623024000000, 52936700.822238564]"
2021-06-08,"[1623110400000, 55.42889033136588]","[1623110400000, 95993844.86197405]","[1623110400000, 60578715.349368885]"
2021-06-09,"[1623196800000, 55.76975979246986]","[1623196800000, 95618191.25126033]","[1623196800000, 81508305.26440772]"
2021-06-10,"[1623283200000, 56.150829476633405]","[1623283200000, 96068052.24862272]","[1623283200000, 74968878.97023088]"
2021-06-11,"[1623369600000, 50.2063289552241]","[1623369600000, 86106872.17274797]","[1623369600000, 29375538.22018144]"
2021-06-12,"[1623456000000, 46.84794552484395]","[1623456000000, 78641507.23009376]","[1623456000000, 62367524.177280955]"
2021-06-13,"[1623542400000, 45.333012040733536]","[1623542400000, 78781692.12650989]","[1623542400000, 59995966.93828285]"
2021-06-14,"[1623628800000, 49.381570705395845]","[1623628800000, 83951631.06492797]","[1623628800000, 48301855.56691401]"
2021-06-15,"[1623715200000, 50.996023146230456]","[1623715200000, 87787322.89949974]","[1623715200000, 56353192.752095774]"
2021-06-16,"[1623801600000, 50.59811308193084]","[1623801600000, 87646770.94442298]","[1623801600000, 49541664.506284066]"
2021-06-17,"[1623888000000, 46.06340545129633]","[1623888000000, 80009130.99444313]","[1623888000000, 33130069.027040415]"
2021-06-18,"[1623974400000, 48.06206550340466]","[1623974400000, 82729418.26979066]","[1623974400000, 38512364.526167385]"
2021-06-19,"[1624060800000, 44.40407919971509]","[1624060800000, 77155358.59196782]","[1624060800000, 51345457.488180585]"
2021-06-20,"[1624147200000, 42.510102829760065]","[1624147200000, 73980985.47670418]","[1624147200000, 33146110.3271359]"
2021-06-21,"[1624233600000, 42.97424393820609]","[1624233600000, 74041345.37221956]","[1624233600000, 47312035.16791133]"
2021-06-22,"[1624320000000, 33.13970441354981]","[1624320000000, 58386269.74384949]","[1624320000000, 54582161.28342922]"
2021-06-23,"[1624406400000, 31.43339304559213]","[1624406400000, 54639347.72836211]","[1624406400000, 63929297.39423223]"
2021-06-24,"[1624492800000, 36.07241729144706]","[1624492800000, 62758730.39419413]","[1624492800000, 50290434.43256647]"
2021-06-25,"[1624579200000, 38.14739150887054]","[1624579200000, 66617027.2046112]","[1624579200000, 43852242.08264403]"
