date,prices,market_caps,total_volumes
2021-04-06,"[1617667200000, 26.645463613067815]","[1617667200000, 65276005.71403285]","[1617667200000, 40852986.85048816]"
2021-04-07,"[1617753600000, 29.514665205755765]","[1617753600000, 72618265.85863705]","[1617753600000, 57372083.00115855]"
2021-04-08,"[1617840000000, 24.793500180577293]","[1617840000000, 61371881.64586457]","[1617840000000, 64077150.44168967]"
2021-04-09,"[1617926400000, 26.543903745743727]","[1617926400000, 64917232.615750484]","[1617926400000, 110304367.69688402]"
2021-04-10,"[1618012800000, 26.34196240708864]","[1618012800000, 64469913.91805278]","[1618012800000, 57708686.855666816]"
2021-04-11,"[1618099200000, 25.941330483143393]","[1618099200000, 63518272.74829466]","[1618099200000, 51572209.414081305]"
2021-04-12,"[1618185600000, 26.56963854224938]","[1618185600000, 65062367.99556328]","[1618185600000, 42886956.278592095]"
2021-04-13,"[1618272000000, 25.62873230574198]","[1618272000000, 62693253.09116134]","[1618272000000, 39416717.005359076]"
2021-04-14,"[1618358400000, 27.817147191746912]","[1618358400000, 67820607.12542072]","[1618358400000, 54872495.35541712]"
2021-04-15,"[1618444800000, 34.601794233354205]","[1618444800000, 84562570.19998692]","[1618444800000, 140962755.15743592]"
2021-04-16,"[1618531200000, 32.55967958042835]","[1618531200000, 79757808.61806951]","[1618531200000, 79030701.22715905]"
2021-04-17,"[1618617600000, 30.38814822748335]","[1618617600000, 75117474.91336821]","[1618617600000, 56004393.098912776]"
2021-04-18,"[1618704000000, 29.132051677852377]","[1618704000000, 71900963.86518022]","[1618704000000, 43415650.6579747]"
2021-04-19,"[1618790400000, 25.24925915432251]","[1618790400000, 61861101.540866196]","[1618790400000, 65672634.19657987]"
2021-04-20,"[1618876800000, 22.902100600623108]","[1618876800000, 56072593.8569889]","[1618876800000, 40157129.25123923]"
2021-04-21,"[1618963200000, 23.775113387660507]","[1618963200000, 57756920.4760409]","[1618963200000, 42469854.2453568]"
2021-04-22,"[1619049600000, 22.579077951050454]","[1619049600000, 55658558.75244722]","[1619049600000, 42350342.75208456]"
2021-04-23,"[1619136000000, 21.123256970997154]","[1619136000000, 52120260.00925915]","[1619136000000, 39154930.12296974]"
2021-04-24,"[1619222400000, 21.592804271299133]","[1619222400000, 51993532.5092839]","[1619222400000, 37912574.07651186]"
2021-04-25,"[1619308800000, 19.281409179645184]","[1619308800000, 47428011.72583437]","[1619308800000, 30681416.530291077]"
2021-04-26,"[1619395200000, 19.03202866051609]","[1619395200000, 46504408.903938204]","[1619395200000, 18542273.02485094]"
2021-04-27,"[1619481600000, 22.627974713892353]","[1619481600000, 55044268.32999156]","[1619481600000, 33763271.551411636]"
2021-04-28,"[1619568000000, 24.232225235046624]","[1619568000000, 59320369.09657847]","[1619568000000, 35294630.4080674]"
2021-04-29,"[1619654400000, 26.55359251207888]","[1619654400000, 64683716.92127322]","[1619654400000, 45495380.34861666]"
2021-04-30,"[1619740800000, 24.832189197785535]","[1619740800000, 60646897.22120931]","[1619740800000, 38217591.31815999]"
2021-05-01,"[1619827200000, 25.31039324825812]","[1619827200000, 62164568.12797999]","[1619827200000, 25017481.15863298]"
2021-05-02,"[1619913600000, 25.590691264949704]","[1619913600000, 62669507.72828369]","[1619913600000, 21303652.395788524]"
2021-05-03,"[1620000000000, 24.383831530086596]","[1620000000000, 59484463.10023288]","[1620000000000, 19549200.573642388]"
2021-05-04,"[1620086400000, 30.86872356803689]","[1620086400000, 75491438.8004444]","[1620086400000, 44275688.39935301]"
2021-05-05,"[1620172800000, 24.794128278066392]","[1620172800000, 60838880.31088237]","[1620172800000, 36320980.77658808]"
2021-05-06,"[1620259200000, 27.019778297552936]","[1620259200000, 66245992.979685254]","[1620259200000, 14461556.265608622]"
2021-05-07,"[1620345600000, 24.980467296769472]","[1620345600000, 61093295.84563543]","[1620345600000, 11341709.942514302]"
