date,prices,market_caps,total_volumes
2021-04-06,2980.3469471769877,118220415.41592124,156602244.11495286
2021-04-07,2988.344417419399,118736364.61098482,194952606.32301503
2021-04-08,2987.3503302329354,117365797.63703997,217581095.6030371
2021-04-09,3080.284374878475,122681331.19940756,179183267.032374
2021-04-10,2972.0715847675438,118050385.15379873,92392343.43620986
2021-04-11,2998.7655740025125,119116447.16107923,84200307.29765837
2021-04-12,2969.9127386566593,117876456.88456032,99042532.84694286
2021-04-13,2831.835388845169,112467324.4407734,76375218.31938623
2021-04-14,2902.126516650275,115228352.14072461,88754396.48956567
2021-04-15,2959.6915425213783,117477188.97081341,125900793.88419534
2021-04-16,3204.039189559207,127198963.45817886,156172973.55563173
2021-04-17,3031.936285960027,120496955.86456919,128012866.09525138
2021-04-18,3058.80553835764,121807930.71677986,179143695.06364894
2021-04-19,2587.156841183468,102952322.73535497,310600795.70709395
2021-04-20,2282.421953808559,91884539.5148109,156707057.17086774
2021-04-21,2602.7933869221292,104346068.14364728,221782546.87218255
2021-04-22,2494.8726335017745,99822361.39151822,118132499.3105045
2021-04-23,2337.8258839266755,93018847.3348316,112055484.20083551
2021-04-24,2311.2880180953484,91814183.03068298,136730303.8628676
2021-04-25,2090.741582659442,83786781.13978505,69038964.68731637
2021-04-26,2200.9925176570982,87424566.25907438,75844823.03369604
2021-04-27,2415.3419520592997,95742942.29186058,84665812.21175143
2021-04-28,2496.0335848095015,99362466.51141386,75192897.02555476
2021-04-29,2470.115743862426,98044727.46410024,73780086.78522287
2021-04-30,2473.817895779066,98431534.70644075,65482248.09650992
2021-05-01,2601.491079460849,103449880.06569889,61778901.00528801
2021-05-02,2639.7684899902392,104974789.12066203,53065124.14120792
2021-05-03,2590.2001445657224,102770203.93983771,46963987.98892228
2021-05-04,2709.922842866718,107808442.13432752,71943976.41320038
2021-05-05,2420.4973576433194,97313065.2642015,90960183.37897944
2021-05-06,2706.341325224241,107699207.83019036,84057424.05361815
2021-05-07,2702.854303983465,107358071.6500145,117393372.58969064
2021-05-08,2598.6589957320225,103184787.83458836,95974477.88146242
2021-05-09,2627.5560303909306,104186817.08206175,71244132.02374421
2021-05-10,2562.489561722693,101949843.1827463,73072204.350512
2021-05-11,2856.7639161809825,110493491.90125245,160438001.7330473
2021-05-12,3276.7938349566934,126960047.36667366,549666543.0626516
2021-05-13,2743.3056477356745,112020657.19699658,310999636.9107687
2021-05-14,2706.064883153448,106744779.49597548,161398759.73611197
2021-05-15,2806.9415517343455,111439800.06247596,75460733.894645
2021-05-16,2579.658256798044,102759147.22084633,78320360.35463053
2021-05-17,2640.6600528939707,104498744.84370837,77907299.33672354
2021-05-18,2485.922842599259,99747719.22063792,91164197.31087644
2021-05-19,2664.3441508794285,105115687.87937836,78251575.541555
2021-05-20,1543.0590887400124,62835804.91814516,145932503.65944815
2021-05-21,1864.719017489531,73798320.69373082,112858364.87546234
2021-05-22,1590.5190620383057,63673570.95173954,78761238.7521914
2021-05-23,1798.7932558685898,71322222.03866595,97976556.75606431
2021-05-24,1616.4285440299866,63708288.926003575,106338288.00750515
2021-05-25,1889.1597016114445,74958488.9044831,88425054.6128551
2021-05-26,1824.6583069639562,72828163.50725526,64045964.64670477
2021-05-27,2130.9738414824387,84251339.32812726,62193761.45569546
2021-05-28,1918.7778598695313,75631940.8200178,45569954.758444
2021-05-29,1740.3852611243012,69199761.59455056,45877552.44939101
2021-05-30,1798.322411184333,71796347.20478655,33116357.647198558
2021-05-31,1787.8889448184807,71022750.32569948,36476105.896474525
2021-06-01,1889.3113209877745,75014500.02950042,35468264.09423497
2021-06-02,1882.415437692947,74933442.09746827,34392864.532131635
2021-06-03,1924.697861648476,76388850.541589,25660262.763545405
2021-06-04,1986.0600021682653,79014635.60480806,25937811.316842943
2021-06-05,1799.571211100528,71453226.05036984,33387200.95152993
2021-06-06,1802.9378391601028,71319889.43311204,28790448.86556449
2021-06-07,1905.921568421561,75787002.82249951,53179528.23199413
2021-06-08,1740.4413761049689,69398513.66062194,26361930.74749583
2021-06-09,1733.88368291302,68983076.17277375,32984594.85609861
2021-06-10,1761.32722465847,70240185.62776998,29381492.17632313
2021-06-11,1695.648579430045,67788260.67128076,22428226.119370162
2021-06-12,1633.2830917871909,64817572.9726431,22806619.15887529
2021-06-13,1662.0246814142292,66328747.26855598,42970513.88127435
2021-06-14,1814.2515469804202,72025344.37648652,33772926.33542018
2021-06-15,1829.38966400637,72683555.47865649,26547491.69380029
2021-06-16,1815.0047191921803,72198063.6178426,21626909.402689714
2021-06-17,1801.9992353112596,71475192.2349082,20511448.494280536
2021-06-18,1891.9078532599729,74796537.9055886,29310556.76227906
2021-06-19,1789.8803688457476,71343019.67785448,28273854.89505648
2021-06-20,1706.9508094493956,67735422.61393537,17969146.165323038
2021-06-21,1794.681594093097,71269114.92200011,22196195.050960414
2021-06-22,1497.983399216291,60289507.77988369,28930896.417727336
2021-06-23,1497.0476075271122,59335708.49464304,31713157.643179007
2021-06-24,1765.1748362099634,70538853.85242872,28067365.52294423
2021-06-25,1851.4985236039772,73642542.02036235,26956125.019635603
2021-06-26,1804.5105684184844,71742209.10201925,27693877.316173002
2021-06-27,1715.3759095373891,68031409.32926904,31833175.224166036
2021-06-28,1764.2473523984538,70085722.30345848,26321255.578697745
2021-06-29,1937.4689035180209,76983566.15653019,31554149.2859019
2021-06-30,1896.3810277409125,75844293.23098004,27967122.51361181
2021-07-01,1976.7556731378784,78566170.92205927,25702284.996068772
2021-07-02,1939.4366947723315,76966833.82799208,38154518.3371871
2021-07-03,1927.0983678413784,76359927.08067684,19972604.88932944
2021-07-04,2005.6479153468417,79509025.09982419,20036127.449836317
2021-07-05,2187.7259952795525,87081687.65560587,48441453.721946076
2021-07-06,2283.6861845056214,90790572.5966714,46276657.56270671
2021-07-07,2293.554135948736,91207842.77430095,40237371.37796435
2021-07-08,2196.6345880874237,87283679.32734762,24834348.92879833
2021-07-09,2135.977241696216,84865986.544593,27855098.101915292
2021-07-10,2211.0781821529417,87675899.65092643,31056629.588528465
2021-07-11,2191.8103856104676,87125220.81698501,20804501.138977677
2021-07-12,2167.740773479904,86135553.64687231,14581957.643152727
2021-07-13,2146.737393346705,85066850.05216542,16365883.854106601
2021-07-14,2146.5702342911245,85375489.42970704,26753560.3880309
2021-07-15,2269.6849859465083,90127913.23920698,50897781.88566803
2021-07-16,2289.3525149971156,91003106.28252648,32414648.775258098
2021-07-17,2249.0539985214023,89135578.64837205,54060126.78543311
2021-07-18,2446.813046337029,97384620.6140352,38346245.78066366
2021-07-19,2487.081843592717,98781444.20874543,40169096.15029003
2021-07-20,2626.842783682691,104427829.64728034,64712285.22671686
2021-07-21,2340.8673789552095,93065691.22386086,63678368.5765151
2021-07-22,2583.2879993178544,102244611.40405306,53712203.5298252
2021-07-23,2563.7004840078266,101857799.09214053,36036735.70191123
2021-07-24,2614.011189826703,103854933.74839655,28856120.048187558
2021-07-25,2607.5207305518115,103596602.53379707,36699387.14038005
2021-07-26,2563.827291591613,101789651.88371265,27901027.41934983
2021-07-27,2501.848857172409,99674137.67441405,56518158.46301722
2021-07-28,2618.4515875066227,103870063.89180487,46425961.33308575
2021-07-29,2601.89253826264,103361312.9190968,35532599.669408366
2021-07-30,2551.909498317847,101720444.91385299,29795441.13618123
2021-07-31,2953.839663526874,117480942.603486,80025389.41279042
2021-08-01,3528.857221294879,140381712.1077652,188374060.46732008
2021-08-02,3492.1497016032945,138701830.101126,135548271.3489412
2021-08-03,3635.1265532854395,144795329.92987877,101564080.09794703
2021-08-04,4693.265670463109,186900435.960573,283480274.17747295
2021-08-05,4509.679890027214,179146534.73914295,160256935.05444488
2021-08-06,4316.911447060816,171611182.03711745,114491974.86214846
2021-08-07,4222.913380982069,167752291.36238813,92267787.20769927
2021-08-08,4281.264903168801,170054330.1945145,108558107.55788833
2021-08-09,4014.597488106843,159813183.2005921,76098807.17310865
2021-08-10,4015.2818787024225,158838306.59763992,89446691.19033761
2021-08-11,4191.931344124925,166328378.2781076,107023694.58047542
2021-08-12,4149.340697375947,164986578.09076756,94871318.0739643
2021-08-13,4053.721745712446,160916124.1168886,80794197.4452592
2021-08-14,4296.185607700146,170514745.47591415,65154732.88998755
2021-08-15,4083.0767164769495,162494788.04999945,60277138.56505849
2021-08-16,4403.1046626430625,174486101.61768866,86931431.35257713
