currency_daily_BTC_CNY (1)
timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-04-02,294478.70512500,300392.71250000,293196.27962500,299070.96675000,46283.49000000,47213.00000000,46081.93000000,47005.26000000,4770.94856000,4770.94856000
2022-04-01,289559.60187500,297256.57262500,281222.50000000,294478.70512500,45510.35000000,46720.09000000,44200.00000000,46283.49000000,56271.06474000,56271.06474000
2022-03-31,299470.08637500,302855.00000000,287585.00000000,289559.53825000,47067.99000000,47600.00000000,45200.00000000,45510.34000000,48645.12667000,48645.12667000
2022-03-30,301803.85137500,303492.64975000,295508.98475000,299470.08637500,47434.79000000,47700.22000000,46445.42000000,47067.99000000,40947.20850000,40947.20850000
2022-03-29,299815.06112500,306013.79037500,298724.78312500,301803.91500000,47122.21000000,48096.47000000,46950.85000000,47434.80000000,36772.28457000,36772.28457000
2022-03-28,297941.62300000,306607.85700000,296896.90050000,299815.06112500,46827.76000000,48189.84000000,46663.56000000,47122.21000000,58949.26140000,58949.26140000
2022-03-27,283202.95537500,299031.13750000,282631.53925000,297941.62300000,44511.27000000,46999.00000000,44421.46000000,46827.76000000,41874.91071000,41874.91071000
2022-03-26,281942.48050000,284995.39887500,280407.90912500,283202.95537500,44313.16000000,44792.99000000,44071.97000000,44511.27000000,23041.61741000,23041.61741000
2022-03-25,279895.66425000,286911.46575000,277271.38750000,281942.48050000,43991.46000000,45094.14000000,43579.00000000,44313.16000000,54614.43648000,54614.43648000
2022-03-24,272841.56050000,281355.41262500,270790.92675000,279895.66425000,42882.76000000,44220.89000000,42560.46000000,43991.46000000,56195.12374000,56195.12374000
2022-03-23,269541.77712500,273752.67050000,265643.72787500,272841.56050000,42364.13000000,43025.96000000,41751.47000000,42882.76000000,40828.87039000,40828.87039000
2022-03-22,260876.87925000,275884.36250000,260070.43237500,269541.77712500,41002.26000000,43361.00000000,40875.51000000,42364.13000000,59454.94294000,59454.94294000
2022-03-21,262530.17487500,264325.09975000,257477.26825000,260876.81562500,41262.11000000,41544.22000000,40467.94000000,41002.25000000,39426.24877000,39426.24877000
2022-03-20,268504.68962500,269109.95425000,260296.23750000,262530.17487500,42201.13000000,42296.26000000,40911.00000000,41262.11000000,30653.33468000,30653.33468000
2022-03-19,265682.15737500,269770.00000000,264039.23262500,268504.68962500,41757.51000000,42400.00000000,41499.29000000,42201.13000000,29067.18108000,29067.18108000
2022-03-18,260340.07512500,269292.93975000,255359.19200000,265682.15737500,40917.89000000,42325.02000000,40135.04000000,41757.51000000,45408.00969000,45408.00969000
2022-03-17,261587.88862500,263908.99225000,257681.25000000,260340.13875000,41114.01000000,41478.82000000,40500.00000000,40917.90000000,37189.38087000,37189.38087000
2022-03-16,249921.09962500,265430.77500000,247046.20400000,261587.82500000,39280.33000000,41718.00000000,38828.48000000,41114.00000000,88120.76167000,88120.76167000
2022-03-15,252409.09162500,253784.91862500,242400.62462500,249921.09962500,39671.37000000,39887.61000000,38098.33000000,39280.33000000,46015.54926000,46015.54926000
2022-03-14,240358.38937500,254163.55100000,238943.68750000,252409.09162500,37777.35000000,39947.12000000,37555.00000000,39671.37000000,46945.45375000,46945.45375000
2022-03-13,246911.76437500,250109.87500000,239093.26987500,240358.32575000,38807.35000000,39310.00000000,37578.51000000,37777.34000000,32791.82359000,32791.82359000
2022-03-12,246416.88912500,251234.19237500,245977.55850000,246911.82800000,38729.57000000,39486.71000000,38660.52000000,38807.36000000,24034.36432000,24034.36432000
2022-03-11,250822.53862500,256003.20425000,243197.65500000,246416.88912500,39422.01000000,40236.26000000,38223.60000000,38729.57000000,59018.76420000,59018.76420000
2022-03-10,266854.06625000,267477.14587500,245209.03212500,250822.47500000,41941.70000000,42039.63000000,38539.73000000,39422.00000000,71950.25677000,71950.25677000
2022-03-09,246423.63337500,271004.70675000,245951.66312500,266854.12987500,38730.63000000,42594.06000000,38656.45000000,41941.71000000,67392.58799000,67392.58799000
2022-03-08,241698.71362500,250441.23400000,240932.92312500,246423.63337500,37988.01000000,39362.08000000,37867.65000000,38730.63000000,55528.43367000,55528.43367000
2022-03-07,244452.34000000,251621.41412500,236398.68750000,241698.65000000,38420.80000000,39547.57000000,37155.00000000,37988.00000000,63941.20316000,63941.20316000
2022-03-06,250669.58412500,252552.24787500,242338.52662500,244452.40362500,39397.97000000,39693.87000000,38088.57000000,38420.81000000,39677.26158000,39677.26158000
2022-03-05,249083.28562500,252039.23950000,244368.29137500,250669.52050000,39148.65000000,39613.24000000,38407.59000000,39397.96000000,30363.13341000,30363.13341000
2022-03-04,270113.57500000,270579.94625000,245274.37500000,249083.34925000,42454.00000000,42527.30000000,38550.00000000,39148.66000000,61964.68498000,61964.68498000
2022-03-03,279269.14887500,280593.37600000,266157.88150000,270113.57500000,43892.99000000,44101.12000000,41832.28000000,42454.00000000,50940.61021000,50940.61021000
2022-03-02,282629.88500000,288857.50000000,275713.14762500,279269.08525000,44421.20000000,45400.00000000,43334.09000000,43892.98000000,57782.65081000,57782.65081000
2022-03-01,274605.50000000,285988.01250000,272378.49775000,282629.88500000,43160.00000000,44949.00000000,42809.98000000,44421.20000000,61743.09873000,61743.09873000
2022-02-28,239860.39650000,281386.90700000,238276.70662500,274605.50000000,37699.08000000,44225.84000000,37450.17000000,43160.00000000,73945.63858000,73945.63858000
2022-02-27,248880.19462500,253581.89125000,235412.50000000,239860.33287500,39116.73000000,39855.70000000,37000.00000000,37699.07000000,46229.44719000,46229.44719000
2022-02-26,249531.90550000,256717.01312500,245421.85775000,248880.13100000,39219.16000000,40348.45000000,38573.18000000,39116.72000000,29361.25680000,29361.25680000
2022-02-25,243866.22650000,252486.45962500,241866.42912500,249531.96912500,38328.68000000,39683.53000000,38014.37000000,39219.17000000,56574.57125000,56574.57125000
2022-02-24,237003.25225000,253501.08750000,218375.50650000,243856.87362500,37250.02000000,39843.00000000,34322.28000000,38327.21000000,120476.29458000,120476.29458000
2022-02-23,243240.47462500,249727.67962500,235646.57637500,237003.18862500,38230.33000000,39249.93000000,37036.79000000,37250.01000000,43560.73200000,43560.73200000
2022-02-22,235464.41800000,244504.51250000,231276.87500000,243240.47462500,37008.16000000,38429.00000000,36350.00000000,38230.33000000,53785.94589000,53785.94589000
2022-02-21,244236.58762500,251282.80187500,234140.00000000,235464.41800000,38386.89000000,39494.35000000,36800.00000000,37008.16000000,62347.68496000,62347.68496000
2022-02-20,255003.71912500,255298.11200000,241775.00000000,244236.58762500,40079.17000000,40125.44000000,38000.00000000,38386.89000000,33439.29011000,33439.29011000
2022-02-19,254337.43812500,257326.98600000,252203.32837500,255003.71912500,39974.45000000,40444.32000000,39639.03000000,40079.17000000,18042.05510000,18042.05510000
2022-02-18,257781.20487500,260607.23650000,251000.62500000,254337.37450000,40515.71000000,40959.88000000,39450.00000000,39974.44000000,43845.92241000,43845.92241000
2022-02-17,279145.52550000,280997.96737500,254965.79862500,257781.14125000,43873.56000000,44164.71000000,40073.21000000,40515.70000000,47245.99494000,47245.99494000
2022-02-16,283416.60812500,283449.18412500,275540.78750000,279145.52550000,44544.85000000,44549.97000000,43307.00000000,43873.56000000,28471.87270000,28471.87270000
2022-02-15,270634.91825000,284730.78250000,269941.97837500,283416.67175000,42535.94000000,44751.40000000,42427.03000000,44544.86000000,38095.19576000,38095.19576000
2022-02-14,267566.34812500,272584.77000000,264365.43800000,270634.91825000,42053.65000000,42842.40000000,41550.56000000,42535.94000000,34010.13060000,34010.13060000
2022-02-13,268611.19787500,272060.50000000,266397.87500000,267566.41175000,42217.87000000,42760.00000000,41870.00000000,42053.66000000,17732.08113000,17732.08113000
2022-02-12,269602.85712500,274093.25512500,265245.49900000,268611.19787500,42373.73000000,43079.49000000,41688.88000000,42217.87000000,26556.85681000,26556.85681000
2022-02-11,276739.73700000,279441.00000000,266833.76987500,269602.85712500,43495.44000000,43920.00000000,41938.51000000,42373.73000000,44975.16870000,44975.16870000
2022-02-10,282321.36737500,291536.11250000,274694.63862500,276739.73700000,44372.71000000,45821.00000000,43174.01000000,43495.44000000,62357.29091000,62357.29091000
2022-02-09,280223.58750000,285033.63750000,274337.76600000,282321.43100000,44043.00000000,44799.00000000,43117.92000000,44372.72000000,34428.16729000,34428.16729000
2022-02-08,278931.93637500,289442.85000000,271462.42500000,280223.52387500,43839.99000000,45492.00000000,42666.00000000,44042.99000000,64880.29387000,64880.29387000
2022-02-07,269648.28537500,283134.43125000,264971.72062500,278931.93637500,42380.87000000,44500.50000000,41645.85000000,43839.99000000,51060.62006000,51060.62006000
2022-02-06,263296.79250000,271398.80000000,261604.11300000,269648.28537500,41382.60000000,42656.00000000,41116.56000000,42380.87000000,22405.16704000,22405.16704000
2022-02-05,264499.94125000,266675.85262500,259863.65112500,263296.72887500,41571.70000000,41913.69000000,40843.01000000,41382.59000000,32532.34372000,32532.34372000
2022-02-04,237397.47275000,265776.44962500,235582.56962500,264516.16562500,37311.98000000,41772.33000000,37026.73000000,41574.25000000,64703.95874000,64703.95874000
2022-02-03,234753.15412500,237874.78750000,230640.62500000,237395.11862500,36896.37000000,37387.00000000,36250.00000000,37311.61000000,32081.10999000,32081.10999000
2022-02-02,246194.32887500,247220.79100000,232784.46937500,234753.09050000,38694.59000000,38855.92000000,36586.95000000,36896.36000000,35794.68130000,35794.68130000
2022-02-01,244745.65125000,249824.83500000,241775.00000000,246194.32887500,38466.90000000,39265.20000000,38000.00000000,38694.59000000,34574.44663000,34574.44663000
2022-01-31,241022.63437500,246508.70000000,233074.98112500,244745.65125000,37881.75000000,38744.00000000,36632.61000000,38466.90000000,36855.24580000,36855.24580000
2022-01-30,242836.45587500,244060.79175000,237649.74587500,241022.69800000,38166.83000000,38359.26000000,37351.63000000,37881.76000000,21430.66527000,21430.66527000
